ALK-Abelló,Médecin,PERRIER TIXIER CHRISTINE,24/04/2012,TRANSPORT,€124,,
ASTRAZENECA,Médecin,BINJAMIN PIERRE MARIE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BINJAMIN PIERRE MARIE,10/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BINJAMIN PIERRE MARIE,27/03/2014,Repas,€57,,
CHIESI SA,Médecin,BINJAMIN PIERRE MARIE,19/03/2014,Repas,€53,,
ICOMED,Chirurgien-dentiste,CRISTE ADRIANA,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BINJAMIN PIERRE MARIE,10/04/2014,Autre: [Enquête],€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BINJAMIN PIERRE MARIE,03/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BINJAMIN PIERRE MARIE,28/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BINJAMIN PIERRE MARIE,26/03/2013,Hospitalite,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BINJAMIN PIERRE MARIE,21/02/2014,Repas,€32,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BINJAMIN PIERRE MARIE,04/12/2013,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BINJAMIN PIERRE MARIE,22/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BINJAMIN PIERRE MARIE,27/02/2014,Repas,€41,,
LES LABORATOIRES SERVIER,Médecin,BINJAMIN PIERRE MARIE,21/01/2014,Repas,€55,,
MSD France,Médecin,BINJAMIN PIERRE MARIE,22/06/2012,HOSPITALITE,€53,,
NOVARTIS PHARMA SAS,Médecin,BINJAMIN PIERRE MARIE,01/04/2014,Autre : [Participation Evenement Scientifique],€53,,
NOVO NORDISK,Médecin,BINJAMIN PIERRE MARIE,24/06/2014,REPAS,€53,,
PIERRE FABRE MEDICAMENT,Médecin,BINJAMIN PIERRE MARIE,20/11/2012,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,BINJAMIN PIERRE MARIE,18/06/2013,Restauration,€70,,
SANOFI AVENTIS FRANCE,Médecin,BINJAMIN PIERRE MARIE,16/11/2013,Hébergement,€132,,
SANOFI AVENTIS FRANCE,Médecin,BINJAMIN PIERRE MARIE,16/11/2013,Restauration,€105,,
SANOFI AVENTIS FRANCE,Médecin,BINJAMIN PIERRE MARIE,16/11/2013,Restauration,€18,,
SANOFI AVENTIS FRANCE,Pharmacien,BIZAIS PAQUIN DANIELLE,18/10/2013,Restauration,€16,,
SANOFI AVENTIS FRANCE,Pharmacien,LEC HVIEN CAROLINE,16/07/2013,Restauration,€18,,
SANOFI AVENTIS FRANCE,Pharmacien,LE PERRON SYLVIANE,19/06/2014,Repas,€54,,
Straumann France,Chirurgien-dentiste,CRISTE ADRIANA,21/11/2013,Repas,€25,,
TEVA SANTE SAS,Médecin,BINJAMIN PIERRE MARIE,22/04/2014,REPAS,€57,,
