3M France,Chirurgien-dentiste,SAULUE PAUL,18/01/2014,REPAS,€50,,
ABBOTT FRANCE,Médecin,TISSANDIER PHILIPPE,25/03/2014,REPAS,€16,,
ABBOTT PRODUCTS SAS,Médecin,BOYER CECILE,26/06/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,BOYER CECILE,20/03/2014,REPAS,€29,,
ABBOTT PRODUCTS SAS,Médecin,BOYER PIERRE LUC,06/02/2014,REPAS,€20,,
ABBOTT PRODUCTS SAS,Médecin,BOYER PIERRE LUC,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,CHAABAN IMAD,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,CHAABAN IMAD,06/02/2014,REPAS,€20,,
ABBOTT PRODUCTS SAS,Médecin,CHABOUSSOU JEAN PIERRE,03/03/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,CHABOUSSOU Jean pierre,25/10/2013,REPAS,€33,,
ABBOTT PRODUCTS SAS,Médecin,CHELLIER Marc,12/12/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,CHELLIER MARC,15/05/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,DEBATS PIERRE ALBERT,17/01/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,DEBATS PIERRE ALBERT,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,DEBATS Pierre albert,31/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,GATT HUBERT,15/05/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,GATT Hubert,12/12/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,GATT HUBERT,07/05/2014,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,KFOURY Joseph,01/10/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LACOURT GUILLAUME,06/02/2014,REPAS,€20,,
