ALLERGAN FRANCE,Médecin,ALEGRE DE LA SOUJEOLE JEAN,14/11/2013,REPAS,€49,,
alliance healthcare repartition,Pharmacien,SERRAULT JEAN FRANCOIS,07/02/2014,Repas,€40,,
ALMUS,Pharmacien,SERRAULT Jean-François,24/05/2014,Repas,€31,,
ASTELLAS PHARMA,Médecin,BENDAVID POL,16/04/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,BILLIARD ALAIN,15/03/2013,REPAS,€10,,
ASTELLAS PHARMA,Médecin,BOURGET ANTOINE,19/06/2013,REPAS,€54,,
ASTELLAS PHARMA,Médecin,BOYER JACQUES,16/04/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,ETIENNE WILFRIED,16/04/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,GUENE BERNARD,16/04/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,QUIGNON LAURENCE,15/03/2013,REPAS,€10,,
ASTRAZENECA,Médecin,BENDAVID LARA,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENDAVID POL,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENDAVID POL,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENDAVID POL,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BILLIARD ALAIN,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BILLIARD ALAIN,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOYER JACQUES,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOYER JACQUES,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BRIAND HELENE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ETIENNE WILFRIED,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,ETIENNE WILFRIED,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUENE BERNARD,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUENE BERNARD,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUENE BERNARD,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN BRUNO,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN BRUNO,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN BRUNO,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,QUIGNON LAURENCE,21/05/2014,Repas,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRIAND HELENE,26/07/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ETIENNE WILFRIED,26/07/2013,HOSPITALITE,€20,,
