ALFA WASSERMANN PHARMA,Médecin,LHOSMOT JEAN-LOUIS,06/06/2014,REPAS,€25,,
ASTRAZENECA,Médecin,ROUSSEL JACQUES,25/02/2014,Repas,€57,,
ATOS MEDICAL SAS,Orthophoniste,COMTE VOINOT SEVERINE,04/04/2014,Autre : [Journée d'étude],€43,,
IPSEN PHARMA,Médecin,ROUSSEL JACQUES,01/07/2013,REPAS,€35,,
IPSEN PHARMA,Médecin,ROUSSEL JACQUES,24/01/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,ROUSSEL JACQUES,13/05/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LHOSMOT JEAN LOUIS,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LHOSMOT JEAN LOUIS,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MATHIS CYRILLE,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,18/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,06/03/2014,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,06/07/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,11/01/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,21/02/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,15/03/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,15/10/2013,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,13/06/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,30/05/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,21/02/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL JACQUES,06/03/2014,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL PIERRE PAUL,18/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUSSEL PIERRE PAUL,06/03/2014,REPAS,€38,,
LES LABORATOIRES SERVIER,Médecin,LHOSMOT JEAN LOUIS,12/12/2013,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,ROUSSEL JACQUES,10/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,ROUSSEL JACQUES,09/07/2013,Repas,€38,,
Lilly France SAS,Médecin,ROUSSEL JACQUES,26/09/2013,REPAS,€50,,
Lilly France SAS,Médecin,ROUSSEL JACQUES,01/08/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€59,,
LUNDBECK SAS,Médecin,ROUSSEL JACQUES,12/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€56,,
LUNDBECK SAS,Médecin,ROUSSEL JACQUES,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€21,,
LUNDBECK SAS,Médecin,ROUSSEL PIERRE PAUL,12/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€56,,
MSD France,Médecin,LHOSMOT JEAN LOUIS,20/06/2012,REPAS,€45,,
MSD France,Médecin,ROUSSEL JACQUES,03/05/2012,HOSPITALITE,€60,,
