ABBOTT FRANCE,Pharmacien,BARTHES PHILIPPE,28/05/2014,REPAS,€16,,
ASTELLAS PHARMA,Médecin,BOUDET PHILIPPE,24/04/2014,REPAS,€43,,
ASTELLAS PHARMA,Médecin,BOUDET VERONIQUE,24/04/2014,REPAS,€43,,
ASTELLAS PHARMA,Médecin,DELPY MICHEL,24/04/2014,REPAS,€43,,
ASTELLAS PHARMA,Médecin,DELPY MICHEL,30/05/2013,REPAS,€63,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET PHILIPPE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDET VERONIQUE,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELPY MICHEL,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD CLAUDE,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD CLAUDE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD CLAUDE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,21/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DENARNAUD MARIE PIERRE,12/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BOUDET PHILIPPE,17/06/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,DELPY MICHEL,17/06/2014,Hospitalité,€50,,
BIOCODEX,Médecin,DENARNAUD CLAUDE,19/11/2013,REPAS,€59,,
BIOCODEX,Médecin,DENARNAUD MARIE PIERRE,19/11/2013,REPAS,€59,,
BIOGARAN,Pharmacien,MARTY CATHERINE,20/09/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOUDET PHILIPPE,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOUDET VERONIQUE,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DELPY MICHEL,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENARNAUD CLAUDE,03/12/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENARNAUD CLAUDE,13/02/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENARNAUD CLAUDE,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENARNAUD MARIE PIERRE,13/02/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENARNAUD MARIE PIERRE,03/12/2013,HOSPITALITE,€53,,
BOIRON,Pharmacien,ANCESSY AURELIE,26/11/2013,[REPAS],€25,,
BOIRON,Pharmacien,ANCESSY MONIQUE,26/11/2013,[REPAS],€25,,
BRISTOL-MYERS SQUIBB,Médecin,BOUDET PHILIPPE,26/09/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DELPY MICHEL,26/09/2013,Repas,€60,,
CHIESI SA,Médecin,BOUDET PHILIPPE,29/10/2013,Repas,€44,,
CHIESI SA,Médecin,BOUDET PHILIPPE,17/12/2013,Repas,€53,,
CHIESI SA,Médecin,BOUDET VERONIQUE,29/10/2013,Repas,€44,,
CHIESI SA,Médecin,DELPY MICHEL,29/10/2013,Repas,€44,,
CHIESI SA,Médecin,DELPY MICHEL,17/12/2013,Repas,€53,,
CHIESI SA,Médecin,DENARNAUD CLAUDE,17/12/2013,Repas,€53,,
CHIESI SA,Médecin,DENARNAUD CLAUDE,29/10/2013,Repas,€44,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DELPY MICHEL,16/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DENARNAUD CLAUDE,16/11/2013,REPAS,€30,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,BARLIOT LAURENT,01/05/2014,PRODUIT,€90,,
ICOMED,Chirurgien-dentiste,BARLIOT LAURENT,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,DENARNAUD CLAUDE,28/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DENARNAUD CLAUDE,14/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HERRERO GILBERT,20/12/2013,Autre: [Enquête],€29,,
JANSSEN-CILAG,Médecin,DENARNAUD CLAUDE,21/06/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET PHILIPPE,10/05/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET PHILIPPE,14/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET PHILIPPE,28/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET PHILIPPE,29/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET PHILIPPE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET VERONIQUE,28/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDET VERONIQUE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,06/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,31/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,14/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,05/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,14/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELPY MICHEL,31/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD CLAUDE,31/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,13/05/2014,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,31/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,25/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,14/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,05/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARNAUD MARIE PIERRE,12/07/2012,Hospitalité,€60,,
Laboratoires Grünenthal SAS,Médecin,BOUDET PHILIPPE,27/03/2014,REPAS,€53,,
Laboratoires Grünenthal SAS,Médecin,BOUDET VERONIQUE,27/03/2014,REPAS,€53,,
Laboratoires Grünenthal SAS,Médecin,DELPY MICHEL,27/03/2014,REPAS,€53,,
Laboratoires Grünenthal SAS,Médecin,DENARNAUD MARIE PIERRE,17/04/2014,REPAS,€38,,
Laboratoires Grünenthal SAS,Médecin,DENARNAUD MARIE PIERRE,10/12/2013,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,DENARNAUD MARIE PIERRE,09/07/2013,REPAS,€37,,
Laboratoires Grünenthal SAS,Médecin,DENARNAUD MARIE PIERRE,24/09/2013,REPAS,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENARNAUD Claude,27/03/2014,HOSPITALITE,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENARNAUD Claude,27/03/2014,HOSPITALITE,€50,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MARTY CATHERINE,02/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,SATGE MARIE CHRISTINE,01/12/2013,CADEAUX,€15,,
LEO Pharma,Médecin,BOUDET PHILIPPE,06/02/2014,REPAS,€50,,
LEO Pharma,Médecin,DELPY MICHEL,06/02/2014,REPAS,€50,,
LEO Pharma,Médecin,DENARNAUD CLAUDE,24/04/2014,REPAS,€47,,
LES LABORATOIRES SERVIER,Médecin,BOUDET PHILIPPE,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOUDET VERONIQUE,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DELPY MICHEL,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DENARNAUD CLAUDE,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DENARNAUD CLAUDE,11/12/2013,Repas,€61,,
LES LABORATOIRES SERVIER,Médecin,DENARNAUD CLAUDE,20/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DENARNAUD CLAUDE,14/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DENARNAUD CLAUDE,18/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SICHE DENARNAUD MARIE PIERRE,18/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SICHE DENARNAUD MARIE PIERRE,05/11/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,SICHE DENARNAUD MARIE PIERRE,11/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SICHE DENARNAUD MARIE PIERRE,21/01/2014,Repas,€60,,
Lilly France SAS,Médecin,BOUDET PHILIPPE,17/09/2013,REPAS,€60,,
Lilly France SAS,Médecin,DELPY MICHEL,17/09/2013,REPAS,€60,,
LUNDBECK SAS,Médecin,BOUDET PHILIPPE,27/02/2014,AUTRE : FRAIS D HOSPITALITE / RP,€63,,
LUNDBECK SAS,Médecin,BOUDET PHILIPPE,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,BOUDET VERONIQUE,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,DELPY MICHEL,27/02/2014,AUTRE : FRAIS D HOSPITALITE / RP,€63,,
LUNDBECK SAS,Médecin,DELPY MICHEL,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
medi,Pharmacien,ANCESSY MONIQUE,21/11/2013,AUTRE : REUNION PHARMAD'OC,€55,,
MENARINI FRANCE,Médecin,DENARNAUD CLAUDE,30/01/2014,Autre : [Restauration],€52,,
MSD France,Médecin,BOUDET PHILIPPE,19/02/2014,REPAS,€60,,
MSD France,Médecin,BOUDET PHILIPPE,14/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,BOUDET PHILIPPE,03/07/2012,REPAS,€55,,
MSD France,Médecin,BOUDET PHILIPPE,26/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOUDET PHILIPPE,19/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOUDET PHILIPPE,27/06/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BOUDET PHILIPPE,10/10/2013,REPAS,€60,,
MSD France,Médecin,BOUDET PHILIPPE,20/03/2014,REPAS,€55,,
MSD France,Médecin,BOUDET PHILIPPE,18/06/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,BOUDET PHILIPPE,25/07/2012,REPAS,€54,,
MSD France,Médecin,BOUDET PHILIPPE,02/02/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOUDET PHILIPPE,17/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOUDET VERONIQUE,10/10/2013,REPAS,€60,,
MSD France,Médecin,BOUDET VERONIQUE,19/02/2014,REPAS,€60,,
MSD France,Médecin,BOUDET VERONIQUE,27/06/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BOUDET VERONIQUE,19/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOUDET VERONIQUE,14/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,BOUDET VERONIQUE,10/10/2013,REPAS,€60,,
MSD France,Médecin,BOUDET VERONIQUE,18/06/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,BOUDET VERONIQUE,17/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,DELPY MICHEL,23/11/2013,HÉBERGEMENT,€149,,
