ABBOTT PRODUCTS SAS,Médecin,NICOLAS Patrick,11/12/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,BAUMIER DIDIER,09/01/2013,REPAS,€17,,
ASTELLAS PHARMA,Médecin,MAILLIU RICHARD,27/09/2013,REPAS,€43,,
ASTELLAS PHARMA,Médecin,MAILLIU RICHARD,09/01/2013,REPAS,€17,,
ASTRAZENECA,Médecin,BADIN JEAN PHILIPPE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BADIN JEAN PHILIPPE,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BADIN JEAN PHILIPPE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BAUMIER DIDIER,10/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,BAUMIER DIDIER,14/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,DILLON CLAUDE,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUBERT LANDREAU SYLVIE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUBERT LANDREAU SYLVIE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,JOLY CHANTAL,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,KERROUCHE ABDELOUAHAB,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MAILLIU RICHARD,10/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,MAILLIU RICHARD,14/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,NICOLAS PATRICK,27/08/2013,Repas,€57,,
ASTRAZENECA,Médecin,NICOLAS PATRICK,26/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,NICOLAS PATRICK,09/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,NICOLAS PATRICK,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,POPA MARIUS,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,POPA MARIUS,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,POPA MARIUS,04/12/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BAUMIER DIDIER,31/03/2014,Hospitalité,€16,,
Bayer HealthCare SAS,Médecin,MAILLIU RICHARD,31/03/2014,Hospitalité,€16,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NICOLAS PATRICK,20/11/2013,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NICOLAS PATRICK,08/01/2014,HOSPITALITE,€46,,
BRISTOL-MYERS SQUIBB,Médecin,BAUMIER DIDIER,19/02/2014,Repas,€13,,
BRISTOL-MYERS SQUIBB,Médecin,BAUMIER DIDIER,24/01/2014,Repas,€14,,
BRISTOL-MYERS SQUIBB,Médecin,BAUMIER DIDIER,12/07/2013,Repas,€15,,
BRISTOL-MYERS SQUIBB,Médecin,BAUMIER DIDIER,30/09/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,BAUMIER DIDIER,18/03/2014,Repas,€13,,
BRISTOL-MYERS SQUIBB,Médecin,MAILLIU RICHARD,12/07/2013,Repas,€15,,
BRISTOL-MYERS SQUIBB,Médecin,MAILLIU RICHARD,30/09/2013,Repas,€41,,
BRISTOL-MYERS SQUIBB,Médecin,MAILLIU RICHARD,19/02/2014,Repas,€13,,
