BOEHRINGER INGELHEIM FRANCE,Médecin,BOUAM HOURIA,09/10/2013,HOSPITALITE,€19,,
BOIRON,Médecin,BONNEVAL PFITZENMEYER PAULE,16/04/2014,[REPAS],€30,,
BOIRON,Médecin,BONNEVAL PFITZENMEYER PAULE,18/06/2014,[REPAS],€30,,
BOIRON,Médecin,BONNEVAL PFITZENMEYER PAULE,16/04/2014,[REPAS],€96,,
BOIRON,Médecin,BONNEVAL PFITZENMEYER PAULE,20/11/2013,[REPAS],€28,,
BOIRON,Pharmacien,BEURTON CLEMENCE,23/01/2014,[AUTRE],€30,,
BOIRON,Pharmacien,ERKENS VALERIE,20/11/2013,[REPAS],€28,,
BOIRON,Pharmacien,ERKENS VALERIE,09/10/2013,[REPAS],€35,,
BOIRON,Pharmacien,ERKENS VALERIE,18/06/2014,[REPAS],€30,,
BOIRON,Pharmacien,ERKENS VALERIE,16/04/2014,[REPAS],€96,,
BOIRON,Pharmacien,ERKENS VALERIE,16/04/2014,[REPAS],€30,,
ICOMED,Médecin,BLANCHET PAUL,15/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BLANCHET PAUL,20/01/2014,Autre: [Enquête],€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALVET JEAN,11/09/2012,Hospitalité,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BLANCHET PAUL,05/12/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BEURTON CLEMENCE,05/12/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,ERKENS VALERIE,05/12/2013,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,BOUAM HOURIA,17/10/2013,Repas,€60,,
Lilly France SAS,Médecin,BOUAM HOURIA,10/09/2013,REPAS,€20,,
Lilly France SAS,Médecin,GIET REGIS,10/09/2013,REPAS,€20,,
MUNDIPHARMA,Médecin,BOUAM HOURIA,09/04/2013,AUTRE : HOSPITALITE STAFF,€19,,
NORGINE PHARMA,Médecin,BEYER XAVIER,09/04/2014,TRAITEUR,€14,,
NOVARTIS PHARMA SAS,Médecin,BOUAM HOURIA,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BOUAM HOURIA,23/01/2014,Transport,€362,,
NOVARTIS PHARMA SAS,Médecin,BOUAM HOURIA,23/01/2014,Repas,€152,,
Straumann France,Chirurgien-dentiste,TOFAN GRATIELA,04/04/2014,Repas,€12,,
TEVA SANTE SAS,Pharmacien,PUIG ERKENS VALERIE,27/11/2013,REPAS,€42,,
