Bayer HealthCare SAS,Médecin,COSTE RAYMOND,14/11/2013,Hospitalité,€41,,
BIOGARAN,Pharmacien,DEMOULIN ISABELLE,17/01/2014,REPAS,€32,,
BIOGARAN,Pharmacien,DEMOULIN THIBAULT,17/01/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUSTON Sandrine,17/01/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ODDE Anne-Marie,17/01/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROLLAND Jeannie,17/01/2014,REPAS,€32,,
BRISTOL-MYERS SQUIBB,Médecin,COSTE RAYMOND,03/12/2013,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,COSTE RAYMOND,20/02/2014,Repas,€53,,
BRISTOL-MYERS SQUIBB,Médecin,COSTE RAYMOND,12/06/2014,Repas,€60,,
ICOMED,Chirurgien-dentiste,MAZAUDIER LUC,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,COSTE RAYMOND,28/11/2013,Autre: [Enquête],€27,,
MSD France,Médecin,COSTE RAYMOND,15/10/2013,REPAS,€57,,
MSD France,Médecin,COSTE RAYMOND,19/06/2014,REPAS,€60,,
MSD France,Médecin,COSTE RAYMOND,25/06/2013,HOSPITALITÉ,€57,,
MSD France,Médecin,COSTE RAYMOND,23/05/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,COSTE RAYMOND,13/11/2012,HOSPITALITE,€52,,
MSD France,Médecin,COSTE RAYMOND,15/10/2013,REPAS,€57,,
MSD France,Médecin,COSTE RAYMOND,22/03/2012,HOSPITALITE,€60,,
MYLAN SAS,Pharmacien,DEMOULIN ISABELLE,15/05/2014,REPAS,€48,,
MYLAN SAS,Pharmacien,DEMOULIN THIBAUD,15/05/2014,REPAS,€48,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,DEMOULIN ISABELLE,15/11/2013,REPAS,€60,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,DEMOULIN THIBAULT,15/11/2013,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,COSTE RAYMOND,19/04/2012,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,COSTE RAYMOND,12/01/2012,Restauration,€23,,
SANOFI AVENTIS FRANCE,Médecin,COUSTON SANDRINE,12/07/2013,Restauration,€37,,
SANOFI AVENTIS FRANCE,Pharmacien,NEYRON ISABELLE,12/07/2013,Restauration,€37,,
SEPTODONT SAS,Chirurgien-dentiste,MAZAUDIER Luc,25/02/2013,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,MAZAUDIER LUC,11/12/2012,Cadeaux,€144,,
