ABBOTT PRODUCTS SAS,Médecin,MORIN Didier,12/11/2013,REPAS,€20,,
ASTRAZENECA,Médecin,BELLET COLETTE,05/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,BOPP HANS JURG,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARDIN PHILIPPE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JULLIEN PIERRE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECLERCQ MARC,05/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,MARTIN GILLES,05/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,MORIN DIDIER,16/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,MORIN DIDIER,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MORIN DIDIER,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MORIN DIDIER,17/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,MORIN DIDIER,24/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ZEHR JOSEPH,21/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,LECLERCQ MARC,25/02/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,MARTIN GILLES,25/02/2014,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,MORIN DIDIER,04/12/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,MORIN DIDIER,01/04/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,MORIN DIDIER,12/09/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,MORIN DIDIER,24/09/2013,Hospitalité,€26,,
BIOCODEX,Médecin,MORIN DIDIER,11/02/2014,REPAS,€31,,
BIOGARAN,Pharmacien,BEMBNISTA MAXIME,14/11/2013,REPAS,€28,,
BIOGARAN,Pharmacien,TEISSONIERE DENISE,14/11/2013,REPAS,€28,,
BIOGARAN,Pharmacien,TEISSONIERE THOMAS,11/07/2013,REPAS,€21,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEIROLLE STEPHANIE,14/11/2013,REPAS,€38,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CARLE FLORINE,04/11/2013,[REPAS],€20,,
BRISTOL-MYERS SQUIBB,Médecin,BELLET COLETTE,21/03/2014,Repas,€34,,
BRISTOL-MYERS SQUIBB,Médecin,LECLERCQ MARC,03/09/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LECLERCQ MARC,21/03/2014,Repas,€34,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN GILLES,03/09/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN GILLES,21/03/2014,Repas,€34,,
FH ORTHOPEDICS,Association professionnel de santé,APEDOC,16/05/2014,Autre : [DON],€800,,
GE Medical Systems SCS,Médecin,PELISSIER HENRI,07/02/2014,REPAS PROFESSIONNEL,€20,,
ICOMED,Chirurgien-dentiste,GOUEDARD DOMINIQUE,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,GERSCHHEIMER MICHAEL,24/01/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,LECLERCQ MARC,27/11/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,MARTIN GILLES,22/05/2014,REPAS,€60,,
JANSSEN-CILAG,Médecin,GAUDIN MARION,13/12/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,GHAMRANI BAHIA,29/04/2014,REPAS,€25,,
JANSSEN-CILAG,Médecin,GHAMRANI BAHIA,25/06/2013,REPAS,€16,,
JANSSEN-CILAG,Médecin,GHAMRANI BAHIA,18/02/2014,REPAS,€29,,
JANSSEN-CILAG,Médecin,PEROTTI COSTE VALERIE,18/04/2013,REPAS,€18,,
JANSSEN-CILAG,Médecin,PROKOPOV ALEXANDRE,04/07/2013,REPAS,€18,,
JANSSEN-CILAG,Médecin,PROKOPOV ALEXANDRE,18/02/2014,REPAS,€29,,
JANSSEN-CILAG,Médecin,PROKOPOV ALEXANDRE,29/04/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLET COLETTE,14/12/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLET COLETTE,28/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLET COLETTE,12/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLET COLETTE,17/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAUDIN MARION,16/05/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULLIEN PIERRE,12/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULLIEN PIERRE,17/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,09/10/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,12/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,28/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,17/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,09/03/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ MARC,14/12/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN GILLES,17/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN GILLES,12/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN GILLES,09/03/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN GILLES,09/03/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN GILLES,28/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN DIDIER,15/01/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN DIDIER,28/01/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN DIDIER,03/09/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN DIDIER,24/04/2012,Hospitalité,€27,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DES CEVENNES,21/01/2014,CADEAUX,€20,,
Laboratoires Grünenthal SAS,Médecin,MORIN DIDIER,09/07/2013,REPAS,€24,,
LEO Pharma,Association professionnel de santé,APEDOC (ASSOCIATION POUR L'ETUDE ET LE DEVELOPPEMENT DE L'ORTHOPEDIE EN CEVENNES),27/05/2014,DONS DE FONCTIONNEMENT,"€1,000",,
LEO Pharma,Association professionnel de santé,"ASSOCIATION POUR L'ETUDE ET LE DEVELOPPEMENT DE L'ORTHOPEDIE EN CEVENNES ""A.P.D.O.C""",17/12/2013,DONS DE FONCTIONNEMENT,"€1,000",,
LES LABORATOIRES SERVIER,Médecin,CARDIN PHILIPPE,17/04/2014,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,MORIN DIDIER,17/04/2014,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,MORIN DIDIER,17/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MORIN DIDIER,20/03/2014,Repas,€55,,
LUNDBECK SAS,Médecin,PEROTTI COSTE VALERIE,19/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€14,,
MEDA PHARMA,Médecin,MORIN DIDIER,12/12/2013,REPAS,€55,,
MEDA PHARMA,Médecin,MORIN DIDIER,10/12/2013,REPAS,€48,,
MENARINI FRANCE,Médecin,LECLERCQ MARC,13/09/2013,REPAS,€25,,
MENARINI FRANCE,Médecin,MORIN DIDIER,19/11/2013,AUTRE : RNT,€30,,
MERCK SERONO,Médecin,BELLET COLETTE,09/07/2013,REPAS,€38,,
MERCK SERONO,Médecin,LECLERCQ MARC,09/07/2013,REPAS,€38,,
MERCK SERONO,Médecin,MARTIN GILLES,09/07/2013,REPAS,€38,,
Molnlycke Health Care,Infirmier,ROBERT SEVERINE,15/01/2014,CADEAUX,€40,,
