Bayer HealthCare SAS,Médecin,COSNEFROY JEAN-FRANCOIS,21/02/2014,Hospitalité,€27,,
CHIESI SA,Médecin,COSNEFROY JEAN FRANCOIS,07/02/2014,Repas,€29,,
DAIICHI SANKYO FRANCE SAS,Médecin,COSNEFROY JEAN FRANCOIS,04/04/2014,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,COSNEFROY JEAN FRANCOIS,07/03/2014,Repas,€42,,
DAIICHI SANKYO FRANCE SAS,Médecin,COSNEFROY JEAN FRANCOIS,19/06/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,COSNEFROY JEAN FRANCOIS,05/07/2013,Repas,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COSNEFROY JEAN FRANCOIS,28/02/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COSNEFROY JEAN FRANCOIS,07/12/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COSNEFROY JEAN FRANCOIS,27/09/2013,REPAS,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COSNEFROY JEAN FRANCOIS,08/11/2013,Repas,€33,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COSNEFROY JEAN FRANCOIS,13/02/2014,Repas,€52,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COSNEFROY JEAN FRANCOIS,18/04/2014,Repas,€28,,
LES LABORATOIRES SERVIER,Médecin,COSNEFROY JEAN FRANCOIS,15/11/2013,Repas,€41,,
MSD France,Médecin,COSNEFROY JEAN FRANCOIS,09/03/2012,HOSPITALITE,€31,,
MSD France,Médecin,COSNEFROY JEAN FRANCOIS,28/05/2013,HOSPITALITÉ,€68,,
NOVARTIS PHARMA SAS,Médecin,COSNEFROY JEAN FRANCOIS,28/09/2013,Repas,€65,,
NOVARTIS PHARMA SAS,Médecin,COSNEFROY JEAN FRANCOIS,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,COSNEFROY JEAN FRANCOIS,22/04/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,COSNEFROY JEAN FRANCOIS,14/02/2014,Repas,€40,,
PIERRE FABRE MEDICAMENT,Médecin,COSNEFROY JEAN FRANCOIS,13/12/2013,RESTAURATION,€29,,
PIERRE FABRE MEDICAMENT,Médecin,COSNEFROY JEAN FRANCOIS,29/03/2013,Restauration,€28,,
TEVA SANTE SAS,Médecin,COSNEFROY JEAN FRANCOIS,21/03/2014,REPAS,€30,,
