AMGEN SAS,Médecin,RONDEAU MARIE HELENE,14/11/2013,REPAS IMPROMPTU,€33,,
ARAIR Assistance,Diététicien,Morlot Stéphanie,11/12/2013,Transport,€192,,
ASTRAZENECA,Etudiant,VERTUEUX MALIKA YAELLE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOISSIERES GILBERT,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,HENIQUE THIERRY,21/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,HENIQUE THIERRY,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAWSON ANNE CLAIRE,10/04/2014,Repas,€57,,
Bayer HealthCare SAS,Pharmacien,GROUSSIN ANNE,27/01/2014,Hospitalité,€13,,
CHIESI SA,Médecin,BOISSIERES GILBERT,24/10/2013,Repas,€43,,
CONGRES COLLOQUES CONVENTIONS,Médecin,NTIRUHUNGWA JEAN,24/05/2014,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,HENIQUE THIERRY,21/02/2014,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,HENIQUE THIERRY,18/07/2013,Repas,€22,,
DAIICHI SANKYO FRANCE SAS,Médecin,HENIQUE THIERRY,27/09/2013,Repas,€15,,
DJO France SAS,Pharmacien,LEMAIRE ZZ,20/06/2012,Repas,€35,,
FRESENIUS KABI FRANCE,Pharmacien,TARALON M PIERRE,03/06/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,BOISSIERES GILBERT,21/11/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,LAWSON ANNE-CLAIRE,21/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSIERES GILBERT,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSIERES GILBERT,14/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSIERES GILBERT,03/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TARALON M PIERRE,11/04/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TARALON M PIERRE,10/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TARALON M PIERRE,10/04/2014,HEBERGEMENT,€121,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TARALON M PIERRE,10/04/2014,TRANSPORT,€513,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TARALON M PIERRE,10/04/2014,REPAS,€50,,
LABORATOIRES COLOPLAST,Infirmier,LORIN MURIEL,05/12/2013,Repas,€26,,
LABORATOIRES COLOPLAST,Infirmier,ROUAULT SEGOLENE,05/12/2013,Repas,€26,,
LABORATOIRES URGO,Pharmacien,BRACQUEMOND MARTINE,13/12/2013,REPAS,€16,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LHOSTE ERIC,13/12/2013,REPAS,€16,,
LEO Pharma,Médecin,BOISSIERES GILBERT,04/06/2014,REPAS,€60,,
LEO Pharma,Pharmacien,TARALON M PIERRE,23/01/2014,REPAS,€60,,
LES LABORATOIRES SERVIER,Médecin,BARATTE PHILIPPE,20/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BARATTE PHILIPPE,18/09/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,BARATTE PHILIPPE,07/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,CONVERSY BARATTE ANNE ADELE,20/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,CONVERSY BARATTE ANNE ADELE,20/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,LAWSON ANNE CLAIRE,22/04/2014,Repas,€60,,
Lilly France SAS,Médecin,HENIQUE THIERRY,09/10/2013,REPAS,€50,,
Lilly France SAS,Pharmacien,TARALON M PIERRE,10/10/2013,REPAS,€22,,
MENARINI FRANCE,Médecin,BOISSIERES GILBERT,25/06/2013,REPAS,€35,,
MENARINI FRANCE,Médecin,BOISSIERES GILBERT,24/09/2013,REPAS,€31,,
MERCK SERONO,Médecin,RAHAL JOSEPH,17/09/2013,REPAS,€55,,
MSD France,Médecin,BARATTE PHILIPPE,13/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOISSIERES GILBERT,17/10/2013,REPAS,€58,,
MSD France,Médecin,BOISSIERES GILBERT,29/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOISSIERES GILBERT,17/04/2014,REPAS,€60,,
MSD France,Médecin,CONVERSY BARATTE ANNE ADELE,13/06/2012,HOSPITALITE,€60,,
MYLAN SAS,Pharmacien,LEMAIRE BEATRICE,23/01/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,LEMAIRE BEATRICE,02/10/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,TESSIER BERENGERE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELILLE CHRISTELLE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ELLEAUME ISABELLE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FAIQUERAY MARTINE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIRARD BRIGITTE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PASQUIER MAGGY,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PLAISEAU LAURENCE,02/10/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROLLAND NELLY,02/10/2013,REPAS,€50,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,17/01/2014,HEBERGEMENT,€307,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,11/12/2013,HEBERGEMENT,€307,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,11/12/2013,TRANSPORT,€323,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,12/12/2013,REPAS,€18,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,11/12/2013,REPAS,€27,,
NESTLE HOMECARE,Diététicien,FORGEARD NOEMIE,17/01/2014,TRANSPORT,€232,,
NOVARTIS PHARMA SAS,Médecin,BOISSIERES GILBERT,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,HENIQUE THIERRY,30/09/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,LAWSON ANNE CLAIRE,03/06/2014,Autre : [Participation Evenement Scientifique],€50,,
OCP REPARTITION,Pharmacien,LEMAIRE JOSEPH BEATRICE,12/11/2013,REPAS,€60,,
SANOFI AVENTIS FRANCE,Médecin,BOISSIERES GILBERT,10/12/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,HENIQUE THIERRY,17/04/2014,Repas,€20,,
