BIOTECH DENTAL,Chirurgien-dentiste,ROBIN Emmanuel,05/10/2013,Repas,€60,,
ICOMED,Chirurgien-dentiste,BOUDEREAUX ESTELLE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,CAROUGE ROBIN ANNE CHARLOTTE,06/06/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BARDON PHILIPPE,20/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,BARDON PHILIPPE,23/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VANNOBEL CHRISTIAN,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,VANNOBEL CHRISTIAN,15/03/2013,Autre: [Enquête],€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANNOBEL CHRISTIAN,14/03/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANNOBEL CHRISTIAN,26/04/2012,Hospitalité,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANNOBEL CHRISTIAN,26/04/2012,Hospitalité,€59,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CHRETIEN AYMERIC,04/11/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CRIJNS ELODIE,04/11/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LABART ERICK,04/11/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CIREFICE MARION,04/11/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAURENT PERRINE,04/11/2013,Repas,€45,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,ROBIN EMMANUEL,05/09/2013,REPAS,€22,,
PIERRE FABRE MEDICAMENT,Médecin,BARDON PHILIPPE,24/01/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,LEPRETRE JEAN MARC,14/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,LEPRETRE JEAN MARC,10/10/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,LEPRETRE JEAN MARC,30/11/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,VANNOBEL CHRISTIAN,10/10/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VANNOBEL CHRISTIAN,14/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,VANNOBEL CHRISTIAN,07/06/2012,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,VANNOBEL CHRISTIAN,30/11/2012,Restauration,€42,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN ANNE CHARLOTTE,19/03/2014,repas,€14,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN ANNE-CHARLOTTE,17/03/2014,repas,€27,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,19/03/2014,repas,€31,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,17/03/2014,repas,€27,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,15/05/2014,REPAS,€72,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,12/06/2014,REPAS,€23,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,19/12/2013,REPAS,€61,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,03/10/2013,REPAS,€55,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,08/07/2013,REPAS,€58,,
Zimmer Dental SAS,Chirurgien-dentiste,ROBIN EMMANUEL,19/03/2014,repas,€14,,
