3M France,Chirurgien-dentiste,CAUCHY DAVID,30/01/2014,REPAS,€28,,
ABBOTT FRANCE,Pharmacien,BRAZIER FRANCOIS,25/03/2014,REPAS,€39,,
ABBOTT FRANCE,Pharmacien,BRAZIER MARIE ROSE,25/03/2014,REPAS,€39,,
ABBOTT PRODUCTS SAS,Médecin,ANDRIOLO PHILIPPE,13/05/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,BERNARD Jean charles,12/09/2013,REPAS,€37,,
ABBOTT PRODUCTS SAS,Médecin,DEBEUGNY ALAIN,13/05/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,11/12/2013,TRANSPORT,€458,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,12/10/2013,REPAS,€67,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,11/12/2013,HEBERGEMENT,€146,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,11/10/2013,REPAS,€65,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,11/12/2013,TRANSPORT,€88,,
ABBOTT PRODUCTS SAS,Médecin,MARTIN Serge,12/09/2013,REPAS,€37,,
AbbVie,Médecin,DEWAILLY ARNAUD,04/02/2014,REPAS,€32,,
ALFA WASSERMANN PHARMA,Médecin,DEBEUGNY ALAIN,28/03/2014,REPAS,€44,,
ALK-Abelló,Médecin,ROBOUBI RAMIN,26/11/2013,AUTRE : [RESTAURATION],€17,,
ALLERGAN FRANCE,Médecin,BERNARD JEAN-CHARLES,14/02/2014,REPAS,€24,,
ALLERGAN FRANCE,Médecin,BUGNON PIERRE-YVES,14/02/2014,REPAS,€24,,
ALLERGAN FRANCE,Médecin,DEBEUGNY ALAIN,14/02/2014,REPAS,€24,,
ALLERGAN FRANCE,Médecin,DECLERCK REGIS,25/07/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,DECLERCK REGIS,31/03/2014,REPAS,€23,,
American Medical Systems France,Médecin,VALTILLE Pierre,26/06/2013,TRANSPORT,€164,,
