APTALIS PHARMA SAS,Manipulateur d’électroradiologie médicale,CARTEAUX BARGOIN NICOLE,29/11/2013,FRAIS D'HOSPITALITÉ,€16,,
ASTELLAS PHARMA,Médecin,FAURE GRISE DANIELE,17/01/2013,REPAS,€29,,
ASTELLAS PHARMA,Médecin,MARTHE ROSE MICHEL,21/03/2013,REPAS,€45,,
ASTRAZENECA,Médecin,BERTHET BONDET PHILIPPE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOVA PEYRE CAROLINE,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DENIA KAMEL,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DENIA KAMEL,16/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,04/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAURE GRISE DANIELE,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GINESTE ANNE MARIE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,NISTOR PETRINA,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,RAJ SRINIVASAN,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,VIREVIALLE JACKY,14/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,FAURE GRISE DANIELE,17/04/2014,Hospitalité,€14,,
Bayer HealthCare SAS,Médecin,YASSINE KASSAB AHMED,14/11/2013,Hospitalité,€32,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BENKABOU ASSIA,12/09/2013,HOSPITALITE,€41,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BENKABOU ASSIA,31/01/2014,HOSPITALITE,€983,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,CHY RADA,10/12/2013,HOSPITALITE,€60,,
BOIRON,Médecin,FAURE GRISE DANIELE,03/04/2014,[REPAS],€28,,
BOIRON,Médecin,MARTHE ROSE MICHEL,28/11/2013,[REPAS],€33,,
BOIRON,Médecin,MARTHE ROSE MICHEL,03/04/2014,[REPAS],€28,,
BOIRON,Sage-femme,VADIER MARGIT,10/04/2014,[REPAS],€31,,
BRISTOL-MYERS SQUIBB,Médecin,GRENIER DIDIER,26/09/2013,Repas,€57,,
GE Medical Systems SCS,Médecin,BARGOIN ROGER,22/04/2014,REPAS PROFESSIONNEL,€19,,
ICOMED,Médecin,ANSEL DOMINIQUE,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BENKABOU GHERICIA,19/09/2013,Autre: [Enquête],€29,,
