AbbVie,Médecin,SAUQUE VENUTOLO ELISABETH,10/12/2013,AUTRE: [INSCRIPTION],€405,,
AMGEN SAS,Médecin,DAVID MICHEL,21/11/2013,REPAS,€57,,
EFFIK,Médecin,CATTANEO BEGUE ANNIE,01/10/2013,EXEMPLAIRE DE DEMONSTRATION,€24,,
ICOMED,Médecin,BASCH ANNE SOPHIE,24/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BOUSQUET PAUL,08/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DARGENT FRANCOISE,19/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FLORIVAL FRANCIS,03/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PELLET FRANCIS,09/05/2014,Autre: [Enquête],€27,,
JANSSEN-CILAG,Médecin,VIENNE CATHERINE,18/10/2013,REPAS,€21,,
Julius Zorn GmbH,Médecin,BASCH Anne-Sophie,19/11/2013,chaussettes de compression veineuse Juzo 4613,€49,,
Julius Zorn GmbH,Médecin,BASCH Anne-Sophie,10/02/2014,chaussettes Juzo 4613,€50,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,EVRART LAURENT,18/06/2013,Hospitalite,€14,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,HERSART ANNE,18/06/2013,Hospitalite,€14,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,JARLOT LAURENE,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,LOTTIN ALICE,18/06/2013,Hospitalite,€14,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,RENARD OLIVIER,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BASCH ANNE SOPHIE,10/02/2012,Hospitalité,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CATTANEO BEGUE ANNIE,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID MICHEL,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURIN LAURE,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET DIANA,29/03/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCIS,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALMACIS THIERRY,11/02/2014,REPAS,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALMACIS THIERRY,18/06/2013,Hospitalite,€14,,
MENARINI FRANCE,Médecin,FLORIVAL FRANCIS,12/04/2014,Autre : [Forfait],€286,,
MERCK SERONO,Médecin,CATTANEO BEGUE ANNIE,17/09/2013,REPAS,€22,,
MSD France,Médecin,DAVID MICHEL,08/10/2013,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BASCH ANNE SOPHIE,14/05/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,DE BONADONA JEAN FRANCOIS,04/06/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,DE BONADONA JEAN FRANCOIS,21/03/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DE BONADONA JEAN FRANCOIS,19/02/2014,RESTAURATION,€50,,
RESEARCH NOW SAS,Médecin,basch anne sophie,17/01/2013,enquête,€17,,
SANOFI AVENTIS FRANCE,Médecin,BOUZIDI ABDERAHMANE,17/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,DAVID MICHEL,20/01/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,EVRARD LAURENT,17/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,MAURIN LAURE,20/01/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,PELLET DIANA,17/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,PELLET FRANCIS,17/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,PELLET FRANCIS,20/01/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,SALMACIS THIERRY,20/01/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,SALMACIS THIERRY,17/06/2014,Repas,€33,,
VITALAIRE,Etudiant,IGON IGON,16/04/2013,RESTAURATION,€11,,
VITALAIRE,Médecin,DARGENT FRANCOISE,22/03/2012,RESTAURATION,€53,,
VITALAIRE,Médecin,RACZ PAL,16/04/2013,RESTAURATION,€11,,
VITALAIRE,Médecin,TROVATO STEFANO,16/04/2013,RESTAURATION,€11,,
