ASTELLAS PHARMA,Médecin,BAUDOT DENIS,21/05/2014,REPAS,€28,,
ASTRAZENECA,Médecin,DUPUIS DOMINIQUE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUPUIS DOMINIQUE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUTOUR JULIEN,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUTOUR JULIEN,05/12/2013,Repas,€57,,
ICOMED,Chirurgien-dentiste,GRYNBERG MICHEL,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,DUBROMER JEAN PIERRE,07/01/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAPON NICOLAS,15/05/2013,Hospitalite,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CAPON NICOLAS,27/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DUPUIS DOMINIQUE,27/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DUTOUR JULIEN,27/09/2013,Repas,€45,,
MENARINI FRANCE,Médecin,CAPON NICOLAS,29/11/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,DUTOUR JULIEN,29/11/2013,REPAS,€45,,
PIERRE FABRE MEDICAMENT,Médecin,DUBROMER JEAN PIERRE,15/02/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,DUBROMER JEAN PIERRE,25/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,DUPUIS DOMINIQUE,25/04/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,DUPUIS DOMINIQUE,15/02/2013,Restauration,€48,,
SANDOZ,Pharmacien,MILLE-DALLE CORINNE,02/06/2014,REPAS,€24,,
TEVA SANTE SAS,Médecin,CAPON NICOLAS,12/06/2014,REPAS,€60,,
