ABBOTT FRANCE,Pharmacien,ORAZI THOMAS,28/02/2014,REPAS,€17,,
ABBOTT PRODUCTS SAS,Médecin,HERVE Noelle,05/12/2013,REPAS,€58,,
AbbVie,Médecin,BAPIN MORENA CATHERINE,28/11/2013,REPAS,€55,,
AbbVie,Médecin,BENISTY JOSUE,28/11/2013,REPAS,€55,,
AbbVie,Médecin,BRUN AMELIE,07/01/2014,REPAS,€50,,
AbbVie,Médecin,BRUN AMELIE,22/05/2014,REPAS,€42,,
AbbVie,Médecin,DRAY CLAUDE,28/11/2013,REPAS,€55,,
AbbVie,Médecin,FOURNET DOMINIQUE,11/10/2013,REPAS,€42,,
AbbVie,Médecin,FOURNET DOMINIQUE,11/10/2013,HOSPITALITE,€14,,
AbbVie,Médecin,FOURNET DOMINIQUE,11/10/2013,HÉBERGEMENT,€187,,
AbbVie,Médecin,FOURNET DOMINIQUE,11/10/2013,REPAS,€60,,
AbbVie,Médecin,FOURNET DOMINIQUE,11/10/2013,TRANSPORT,€160,,
AbbVie,Médecin,HERVE NOELLE,11/10/2013,HÉBERGEMENT,€187,,
AbbVie,Médecin,HERVE NOELLE,11/10/2013,HOSPITALITE,€14,,
AbbVie,Médecin,HERVE NOELLE,11/10/2013,REPAS,€42,,
AbbVie,Médecin,HERVE NOELLE,11/10/2013,REPAS,€60,,
AbbVie,Médecin,HERVE NOELLE,11/10/2013,TRANSPORT,€160,,
AbbVie,Médecin,TOUZERY DANIELLE,16/10/2013,Repas,€23,,
AbbVie,Médecin,TOUZERY DANIELLE,13/02/2014,REPAS,€43,,
AbbVie,Médecin,TOUZERY DANIELLE,15/01/2014,REPAS,€19,,
AbbVie,Médecin,TOUZERY DANIELLE,26/03/2014,REPAS,€28,,
AbbVie,Médecin,TOUZERY DANIELLE,07/02/2014,INSCRIPTION,€200,,
AbbVie,Médecin,TOUZERY DANIELLE,05/04/2014,REPAS,€10,,
AbbVie,Médecin,TOUZERY DANIELLE,16/10/2013,Repas,€23,,
AbbVie,Médecin,TOUZERY DANIELLE,15/01/2014,REPAS,€19,,
Actelion Pharmaceuticals France,Médecin,GARCIA MARIE PIERRE,24/04/2014,REPAS,€47,,
AIR LIQUIDE SANTE FRANCE,Pharmacien,DEROUDILHE Joelle,05/06/2014,Repas,€61,,
ALK-Abelló,Médecin,JACQUOT NICOLE,01/06/2012,HEBERGEMENT,€465,,
ALK-Abelló,Médecin,JACQUOT NICOLE,01/06/2012,TRANSPORT,"€1,303",,
ALK-Abelló,Médecin,JACQUOT NICOLE,01/06/2012,AUTRE : [RESTAURATION],€174,,
ALK-Abelló,Médecin,JACQUOT NICOLE,30/05/2013,AUTRE : [INSCRIPTION],€500,,
ALK-Abelló,Médecin,JACQUOT NICOLE,30/05/2013,HEBERGEMENT,€336,,
ALK-Abelló,Médecin,JACQUOT NICOLE,30/05/2013,AUTRE : [RESTAURATION],€221,,
ALK-Abelló,Médecin,JACQUOT NICOLE,30/05/2013,TRANSPORT,€764,,
ALK-Abelló,Médecin,JACQUOT NICOLE,31/05/2012,AUTRE : [RESTAURATION],€47,,
ALK-Abelló,Médecin,JACQUOT NICOLE,01/06/2012,AUTRE : [RESTAURATION],€24,,
ALK-Abelló,Médecin,JACQUOT NICOLE,11/10/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,JACQUOT NICOLE,01/06/2012,AUTRE : [INSCRIPTION],€500,,
ALK-Abelló,Médecin,JACQUOT PUECH NICOLE,05/12/2013,AUTRE : [RESTAURATION],€209,,
ALK-Abelló,Médecin,JACQUOT PUECH NICOLE,05/12/2013,TRANSPORT,€482,,
ALK-Abelló,Médecin,JACQUOT PUECH NICOLE,05/12/2013,AUTRE : [INSCRIPTION],€580,,
ALK-Abelló,Médecin,JACQUOT PUECH NICOLE,05/12/2013,HEBERGEMENT,€480,,
