ANTHOGYR,Médecin,ETIENVRE LE PRIOL Pierre,28/11/2013,Repas ou Hébèrgement,€46,,
ASTRAZENECA,Aide soignant,LE BOUQUIN CATHY,21/11/2013,Repas,€20,,
ASTRAZENECA,Aide soignant,LOISEL CHANTAL,21/11/2013,Repas,€20,,
ASTRAZENECA,Aide soignant,VIDY PATRICIA,21/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,COQUERANT ANNE,21/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,DANIEL MARIE PASCALE,21/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,FRANCO ELISABETH,21/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,LE COURTOIS STEPHANE,21/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,LE VILAIN SABINE,21/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,GAILLARD LAURENCE,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAILLARD LAURENCE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,LABOURET DENIS,11/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,LABOURET DENIS,17/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,LABOURET DENIS,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LABOURET DENIS,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MAHE ARNOLD SANDRINE,11/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,MALOUINES DOMINIQUE,11/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,MALOUINES DOMINIQUE,20/05/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,HIGONENQ CADORET ANNE,21/11/2013,Repas,€20,,
Bayer HealthCare SAS,Médecin,MULLER CLAUDE,13/05/2014,Hospitalité,€60,,
BIOGARAN,Pharmacien,GUBAILLE JEAN,26/06/2014,REPAS,€32,,
BIOGARAN,Pharmacien,HAOUISÉE Florent,12/05/2014,AUTRE : FORMATION ESSEC,"€1,310",,
BIOGARAN,Pharmacien,HAOUISSE FLORENT,26/06/2014,REPAS,€32,,
BIOGARAN,Pharmacien,LE BERRE LAURENCE,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAUVAT STEPHANIE,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DREAN JEANNE,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE BOUCHER SABRINA,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOSAND CLAUDIE,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MIRSAEB SABRINA,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROGER AURELIE,26/06/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,26/06/2014,REPAS,€32,,
BOIRON,Médecin,LADEN BRIGITTE,19/02/2014,[REPAS],€19,,
BOIRON,Médecin,LADEN BRIGITTE,04/12/2013,[REPAS],€14,,
BOIRON,Médecin,LADEN BRIGITTE,14/05/2014,[REPAS],€17,,
BOIRON,Médecin,LADEN BRIGITTE,02/10/2013,[REPAS],€17,,
BRISTOL-MYERS SQUIBB,Pharmacien,ARAGUAS STEPHANE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,GOBAILLE JEAN,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,HAOUISEE FLORENT,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,LE BERRE LAURENCE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAUVAT STEPHANIE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE BOUCHER SABRINA,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LORAND CLAUDIE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MIRSAEB SABRINA,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PONDAVEN MANUELLA,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROGER AURELIE,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,12/06/2014,Repas,€60,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DE GEYER D ORTH EVEN,28/09/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,ARAGUAS STEPHANE,20/05/2014,REPAS,€36,,
Dentsply Gac Europe,Chirurgien-dentiste,FAURE PHILIPPE,02/01/2014,CADEAUX,€16,,
Dentsply Gac Europe,Chirurgien-dentiste,FAURE PHILIPPE,04/01/2014,CADEAUX,€15,,
EFFIK,Médecin,MULLER CLAUDE,30/01/2014,REPAS,€55,,
ICOMED,Chirurgien-dentiste,LE BERRE BAGET SOPHIE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,LE BERRE BAGET SOPHIE,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,CEZANNE HELMUT,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CEZANNE HELMUT,11/04/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,CONAN JEAN MICHEL,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CONAN JEAN MICHEL,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,DE GEYER D ORTH EVEN,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MALOUINES DENIS,21/01/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,MULLER CLAUDE,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MULLER CLAUDE,29/01/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,ALLANORE PATRICE,21/03/2014,REPAS,€46,,
JANSSEN-CILAG,Médecin,ALLANORE PATRICE,19/04/2013,REPAS,€34,,
JANSSEN-CILAG,Médecin,ALLANORE PATRICE,09/10/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,LABOURET DENIS,15/10/2013,REPAS,€17,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,DELAMARE Geoffrey,21/05/2014,Hospitalité,€38,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,LE BERRE BAGET Sophie,21/05/2014,Hospitalité,€38,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,LE GAL Philippe,21/05/2014,Hospitalité,€38,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,MAHE MARIANNE,23/07/2013,Autre,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE GEYER D ORTH EVEN,03/05/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAILLARD LAURENCE,11/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FAUCHEUR JEAN,16/05/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER CLAUDE,12/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOL CHRISTELLE,05/04/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOL CHRISTELLE,21/09/2013,REPAS,€40,,
LABORATOIRE JALDES,Médecin,Muller Claude,10/10/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Muller Claude,01/10/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Nicol Christelle,02/07/2013,Autre : [ECHANTILLON],€21,,
LABORATOIRES CONVATEC,Infirmier,GALODE GAELLE,24/02/2014,REPAS,€60,,
LABORATOIRES CONVATEC,Infirmier,GUINARD ANTOINE,24/02/2014,REPAS,€60,,
LABORATOIRES CONVATEC,Infirmier,MORIO PASCAL,24/02/2014,REPAS,€60,,
LABORATOIRES CONVATEC,Infirmier,SCHNEIDER CAMILLE,24/02/2014,REPAS,€60,,
LABORATOIRES CONVATEC,Infirmier,YVON CATHIE,24/02/2014,REPAS,€60,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CARET ARMELLE,22/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CARET ARMELLE,22/05/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,DE GEYER D'ORTH EVEN,10/04/2014,Repas,€40,,
Lilly France SAS,Médecin,ALLANORE PATRICE,19/02/2014,REPAS,€34,,
LUNDBECK SAS,Médecin,LABOURET DENIS,05/10/2013,AUTRE : HOSPITALITE,"€2,184",,
MEDEXACT,Médecin,DE GEYER D ORTH EVEN,17/06/2013,Autre: [Enquête],€16,,
MSD France,Médecin,ALLANORE PATRICE,05/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,ALLANORE PATRICE,29/11/2013,REPAS,€40,,
MSD France,Médecin,ALLANORE PATRICE,26/09/2013,REPAS,€76,,
MSD France,Médecin,ALLANORE PATRICE,29/03/2012,HOSPITALITE,€63,,
MSD France,Médecin,LADEN BRIGITTE,25/06/2013,HOSPITALITE,€60,,
MSD France,Médecin,MULLER CLAUDE,20/02/2014,REPAS,€55,,
MSD France,Médecin,MULLER CLAUDE,13/11/2013,REPAS,€40,,
NIDEK SA,Opticien-lunetier,SENE LAURENT,28/01/2014,REPAS,€17,,
NOVO NORDISK,Médecin,ALLANORE PATRICE,14/11/2013,REPAS,€55,,
PECH CERCIAT,Médecin,Muller Claude,04/07/2013,Autre : [ECHANTILLON],€20,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,LE BERRE LAURENCE,11/12/2013,RP,€48,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,14/04/2014,RESTAURATION,€127,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,14/04/2014,RESTAURATION,€84,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,14/04/2014,FRAIS DE DEPLACEMENT,€298,,
Pierre Fabre Dermo-Cosmétique,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,14/04/2014,HEBERGEMENT,€232,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,PERRIN JEREMIE,27/11/2013,RESTAURATION,€54,,
PIERRE FABRE MEDICAMENT,Médecin,ALLANORE PATRICE,20/11/2013,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,ALLANORE PATRICE,13/06/2014,RESTAURATION,€38,,
PIERRE FABRE MEDICAMENT,Médecin,ALLANORE PATRICE,19/06/2013,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,ALLANORE PATRICE,05/02/2014,RESTAURATION,€34,,
PIERRE FABRE MEDICAMENT,Médecin,NICOL CHRISTELLE,09/01/2013,Restauration,€14,,
PIERRE FABRE MEDICAMENT,Médecin,NICOL CHRISTELLE,01/02/2012,Restauration,€16,,
PIERRE FABRE MEDICAMENT,Médecin,NICOL CHRISTELLE,28/08/2013,RESTAURATION,€15,,
PIERRE FABRE MEDICAMENT,Médecin,NICOL CHRISTELLE,29/01/2014,RESTAURATION,€14,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LORAND CLAUDIE,15/01/2014,RESTAURATION,€12,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STENOU MEGANE,15/01/2014,RESTAURATION,€12,,
SANOFI AVENTIS FRANCE,Médecin,LE FAUCHEUR JEAN,16/11/2013,Restauration,€105,,
SANOFI AVENTIS FRANCE,Médecin,LE FAUCHEUR JEAN,16/11/2013,Restauration,€18,,
SANOFI AVENTIS FRANCE,Médecin,LE FAUCHEUR JEAN,16/11/2013,Hébergement,€132,,
Zimmer Dental SAS,Chirurgien-dentiste,ETIENVRE PIERRE,05/03/2014,repas,€15,,
Zimmer Dental SAS,Chirurgien-dentiste,MAILLU CLERE VIRGINIE,05/03/2014,repas,€15,,
