ABBOTT FRANCE,Médecin,POMPER MARC,05/11/2013,REPAS,€18,,
ALFA WASSERMANN PHARMA,Médecin,PECILE JEAN CLAUDE,31/01/2014,REPAS,€33,,
ASTRAZENECA,Médecin,BLOND PIERRE ANDRE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEGOIX LUC,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEGOIX LUC,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,PECILE JEAN CLAUDE,28/11/2013,Repas,€57,,
Carl Zeiss Meditec France,Médecin,TACONET DANIELLE,19/10/2013,INVITATIONS,€66,,
CENTRALE DES PEELINGS,Médecin,LAMAZE BERNARD,14/02/2014,cadeaux,€15,,
CHIESI SA,Médecin,BLOND PIERRE ANDRE,15/10/2013,Repas,€20,,
CHIESI SA,Médecin,LEGOIX LUC,15/10/2013,Repas,€20,,
DJO France SAS,Médecin,BAZILLIO CHRISTOPHE,07/05/2013,Repas,€45,,
DJO France SAS,Médecin,BAZILLIO CHRISTOPHE,21/03/2013,Repas,€45,,
DJO France SAS,Médecin,LEGOIX LUC,30/07/2013,Repas,€45,,
ICOMED,Chirurgien-dentiste,GOUBELY REGIS,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BLOND PIERRE ANDRE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BLOND PIERRE ANDRE,11/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HORVILLEUR CATHERINE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HORVILLEUR CATHERINE,27/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LENOIR ALBANE,14/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MOKHTARI CHERIFA,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POURADIER ODILE,22/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,SEBAG JEAN PAUL,13/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAZILLIO CHRISTOPHE,20/03/2014,REPAS,€62,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PECILE JEAN CLAUDE,08/06/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PECILE JEAN-CLAUDE,31/01/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUXEL JACQUES,31/01/2012,Hospitalité,€38,,
LABORATOIRE MENE ET MOY,Médecin,LAMAZE BERNARD,23/04/2014,cadeaux,€27,,
LABORATOIRES ALCON,Médecin,TACONET DANIELLE,11/10/2013,REPAS,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BAZILLIO CHRISTOPHE,19/09/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PECILE JEAN CLAUDE,13/05/2014,Repas,€57,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PECILE JEAN CLAUDE,04/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PECILE JEAN CLAUDE,12/06/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,COURTADE STEPHANIE,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,COURTADE STEPHANIE,06/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,COURTADE STEPHANIE,22/01/2014,Repas,€60,,
MSD France,Médecin,BAZILLIO CHRISTOPHE,15/05/2014,REPAS,€51,,
MSD France,Médecin,BAZILLIO CHRISTOPHE,17/10/2013,REPAS,€49,,
MSD France,Médecin,BAZILLIO CHRISTOPHE,20/09/2012,REPAS,€55,,
MSD France,Médecin,PECILE JEAN CLAUDE,08/04/2014,REPAS,€60,,
MSD France,Médecin,PECILE JEAN CLAUDE,09/07/2013,REPAS,€20,,
MSD France,Médecin,ROUXEL JACQUES,09/07/2013,REPAS,€20,,
OXYPHARM,Pharmacien,PEGGY SYLVIE,24/06/2013,REPAS,€15,,
Pierre Fabre Dermo-Cosmétique,Médecin,LAMAZE BERNARD,16/01/2014,RESTAURATION,€35,,
PIERRE FABRE MEDICAMENT,Médecin,LAMAZE BERNARD,10/04/2014,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,LAMAZE BERNARD,26/09/2013,RESTAURATION,€61,,
PIERRE FABRE MEDICAMENT,Médecin,PECILE JEAN CLAUDE,06/12/2013,RESTAURATION,€19,,
PIERRE FABRE MEDICAMENT,Médecin,PECILE JEAN CLAUDE,14/09/2012,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,PECILE JEAN CLAUDE,03/07/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,PECILE JEAN CLAUDE,20/01/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,ROUXEL JACQUES,01/02/2013,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,ROUXEL JACQUES,25/01/2013,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Médecin,ROUXEL JACQUES,20/01/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,ROUXEL JACQUES,14/09/2012,Restauration,€21,,
Takeda France,Médecin,BAZILLIO Christophe,21/11/2013,REPAS,€55,,
