ABBOTT FRANCE,Diététicien,ROBIN FLORENCE,07/05/2013,REPAS,€21,,
ABBOTT FRANCE,Infirmier,GEISLER CHRISTIANE,07/05/2013,REPAS,€21,,
ABBOTT FRANCE,Infirmier,GEISLER CHRISTIANE,18/09/2013,REPAS,€23,,
ABBOTT FRANCE,Infirmier,GROVA FRANCINE,07/05/2013,REPAS,€21,,
ABBOTT FRANCE,Infirmier,GROVA FRANCINE,18/09/2013,REPAS,€23,,
ABBOTT FRANCE,Médecin,TREBEA AURELIAN,18/09/2013,REPAS,€23,,
ABBOTT PRODUCTS SAS,Médecin,CACCIATORE Onofrio,27/08/2013,REPAS,€31,,
ABBOTT PRODUCTS SAS,Médecin,CACCIATORE ONOFRIO,19/05/2014,REPAS,€35,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,15/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CACCIATORE ONOFRIO,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,17/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,21/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,OSSOLA EUGENE,15/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,WATRIN BERNARD,29/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,WATRIN BERNARD,17/01/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,SCHMIDT THIERRY,19/09/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SCHMIDT THIERRY,24/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SCHMIDT THIERRY,03/12/2013,Repas,€43,,
Beiersdorf s.a.s,Médecin,PEYRON ERIC,25/09/2013,REPAS,€60,,
BIOCODEX,Médecin,CACCIATORE ONOFRIO,03/06/2014,REPAS,€50,,
BIOCODEX,Médecin,OSSOLA EUGENE,03/06/2014,REPAS,€50,,
BIOCODEX,Médecin,WATRIN BERNARD,31/01/2014,REPAS,€60,,
BIOCODEX,Pharmacien,MUNCH GUILLAUME,25/04/2014,REPAS,€20,,
BIOCODEX,Pharmacien,SCHMIDT THIERRY,25/04/2014,REPAS,€20,,
BIOCODEX,Pharmacien,SCHMIDT THIERRY,24/06/2014,REPAS,€30,,
BIOCODEX,Pharmacien,SCHMIDT THIERRY,03/09/2013,REPAS,€24,,
BIOGARAN,Pharmacien,RAMBERTI CHRISTIAN,19/11/2013,REPAS,€34,,
BIOGARAN,Pharmacien,WATELET THIERRY,18/11/2013,REPAS,€24,,
BRISTOL-MYERS SQUIBB,Pharmacien,SCHMIDT THIERRY,09/07/2013,Repas,€26,,
BSN-RADIANTE SAS,Pharmacien,SCHMIDT Thierry,03/10/2013,Repas,€21,,
BSN-RADIANTE SAS,Pharmacien,SCHMIDT Thierry,16/01/2014,Repas,€15,,
CHIESI SA,Médecin,AROUS GILLES,16/01/2014,Repas,€50,,
DAIICHI SANKYO FRANCE SAS,Médecin,CACCIATORE ONOFRIO,17/09/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,OSSOLA EUGENE,17/09/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Pharmacien,SCHMIDT THIERRY,10/12/2013,Repas,€29,,
DAIICHI SANKYO FRANCE SAS,Pharmacien,SCHMIDT THIERRY,10/12/2013,Repas,€29,,
ICOMED,Médecin,CACCIATORE ONOFRIO,14/04/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,TROST PATRICK,01/02/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,CACCIATORE ONOFRIO,18/02/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,CACCIATORE ONOFRIO,16/05/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,CACCIATORE ONOFRIO,13/09/2013,REPAS,€50,,
IPSEN PHARMA,Médecin,CACCIATORE ONOFRIO,14/11/2013,REPAS,€50,,
IPSEN PHARMA,Médecin,OSSOLA EUGENE,14/11/2013,REPAS,€50,,
IPSEN PHARMA,Médecin,OSSOLA EUGENE,18/02/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,OSSOLA EUGENE,13/09/2013,REPAS,€50,,
IPSEN PHARMA,Médecin,OSSOLA EUGENE,16/05/2014,REPAS,€50,,
IPSEN PHARMA,Pharmacien,SCHMIDT THIERRY,11/02/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,20/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,06/09/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,05/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,09/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,04/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,03/04/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,25/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,26/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,31/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,06/09/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,04/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,03/04/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CACCIATORE ONOFRIO,05/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,31/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,06/09/2013,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,20/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,04/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,09/11/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,24/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,13/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,03/04/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,09/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,25/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,18/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OSSOLA EUGENE,29/06/2012,Hospitalité,€50,,
