ABBOTT PRODUCTS SAS,Médecin,RIOU Bernard,15/10/2013,REPAS,€55,,
ASTRAZENECA,Etudiant,AMIEL MARC ANTOINE,13/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,LEFEUVRE PIERRE FRANCOIS,20/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,LEFEUVRE PIERRE FRANCOIS,02/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,LE GOUEFFLEC SOPHIE,02/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,MAZEAU PASCAL,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MAZEAU PASCAL,20/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,MAZEAU PASCAL,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MAZEAU PASCAL,02/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,RIOU BERNARD,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIOU BERNARD,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIOU BERNARD,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIOU BERNARD,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RIOU BERNARD,28/11/2013,Repas,€57,,
BIOCODEX,Médecin,MAZEAU PASCAL,14/11/2013,REPAS,€55,,
BIOCODEX,Médecin,RIOU BERNARD,14/11/2013,REPAS,€55,,
BIOCODEX,Médecin,RIOU BERNARD,24/06/2014,REPAS,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BUSSON EMILIE,21/10/2013,HOSPITALITE,€44,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEFEUVRE PIERRE FRANCOIS,03/02/2014,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEFEUVRE PIERRE FRANCOIS,26/05/2014,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LE GOUEFFLEC SOPHIE,03/02/2014,HOSPITALITE,€46,,
