ASTELLAS PHARMA,Médecin,SAINT FABIEN,16/03/2012,TRANSPORT,€124,,
ASTRAZENECA,Médecin,DEMAILLY PATRICE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,20/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,NOUGEIN PATRICE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,NOUGEIN PATRICE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,PELTIER MARIE CHARLOTTE,20/11/2013,Repas,€57,,
ICOMED,Médecin,DEMAILLY PATRICE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEQUIDT MARINA,11/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DEQUIDT MARINA,05/02/2014,Autre: [Enquête],€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEMAILLY PATRICE,27/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEQUIDT MARINA,27/09/2013,Repas,€45,,
Laboratoires Grünenthal SAS,Médecin,NOUGEIN PATRICE,21/11/2013,REPAS,€10,,
MENARINI FRANCE,Médecin,DEMAILLY PATRICE,03/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,DEMAILLY PATRICE,29/11/2013,REPAS,€45,,
MUNDIPHARMA,Médecin,NOUGEIN PATRICE,31/01/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,PELTIER MARIE CHARLOTTE,04/10/2013,HOSPITALITE,€271,,
PFIZER SAS,Médecin,NOUGEIN PATRICE,16/05/2014,REPAS,€50,,
PFIZER SAS,Médecin,NOUGEIN PATRICE,15/11/2013,Repas,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DEMAILLY PATRICE,15/02/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,DEMAILLY PATRICE,25/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,DEQUIDT MARINA,25/04/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,DEQUIDT MARINA,15/02/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,DEQUIDT MARINA,25/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,NOUGEIN PATRICE,25/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,NOUGEIN PATRICE,15/02/2013,Restauration,€48,,
SANOFI AVENTIS FRANCE,Médecin,GUERET PIERRE,04/06/2014,Repas,€23,,
TEVA SANTE SAS,Médecin,DEQUIDT MARINA,06/06/2014,REPAS,€18,,
