accomed,Médecin,FEBVRE Romain,09/05/2014,HEBERGEMENT - CONGRES PARIS,€380,,
accomed,Médecin,JERBI RIDHA,09/05/2014,HEBERGEMENT CONGRES PARIS,€410,,
Agfa HealthCare France SA,Médecin,BEAGUE CHRISTOPHE,23/04/2014,REPAS,€39,,
Agfa HealthCare France SA,Médecin,BERNE CHRISTOPHE,23/04/2014,REPAS,€39,,
Agfa HealthCare France SA,Médecin,BODNAR DOMINIQUE,23/04/2014,REPAS,€39,,
Agfa HealthCare France SA,Médecin,FRANCOZ JEAN-BRUNO,23/04/2014,REPAS,€39,,
ALK-Abelló,Médecin,MORILLON ALINE,24/04/2012,TRANSPORT,€117,,
ALLERGAN FRANCE,Médecin,BERNE ELISABETH,26/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BRUNEL JEAN MARIE,26/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,FEBVRE ROMAIN,17/07/2013,REPAS,€48,,
ALLERGAN FRANCE,Médecin,FEBVRE ROMAIN,26/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,FEBVRE ROMAIN,18/09/2013,REPAS,€57,,
ALLERGAN FRANCE,Médecin,JERBI RIDHA,26/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,ROGISSART FREDERIQUE,19/07/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,ROGISSART FREDERIQUE,15/06/2014,TRANSPORT,€240,,
ALLERGAN FRANCE,Médecin,ROGISSART FREDERIQUE,15/06/2014,TRANSPORT,€145,,
ALMIRALL SAS,Médecin,COLAMARINO RENATO,19/06/2014,REPAS,€234,,
ALMIRALL SAS,Médecin,COLAMARINO RENATO,19/06/2014,HOSPITALITE,€310,,
Amplifon Groupe France,Médecin,BECAUD PHILIPPE,17/01/2014,REPAS,€45,,
Amplifon Groupe France,Médecin,BECAUD PHILIPPE,16/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],€640,,
Amplifon Groupe France,Médecin,BECAUD PHILIPPE,17/01/2014,REPAS,€45,,
Amplifon Groupe France,Médecin,BECAUD PHILIPPE,16/01/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],€640,,
Amplifon Groupe France,Médecin,MARTIN OLIVIER,18/03/2014,REPAS,€51,,
APTALIS PHARMA SAS,Manipulateur d’électroradiologie médicale,FRANCOZ JEAN BRUNO,26/03/2014,FRAIS D'HOSPITALIT,€17,,
ARROW GENERIQUES SAS,Pharmacien,MICHALET CYRIL,24/04/2014,REPAS,€28,,
ARROW GENERIQUES SAS,Pharmacien,ROFFET JACQUES,13/02/2014,REPAS,€35,,
ASDIA,Infirmier,FRADIN BERNADETTE,22/05/2014,REPAS,€27,,
ASDIA,Infirmier,FRADIN BERNADETTE,22/05/2014,TRANSPORT,€217,,
ASDIA,Infirmier,IMBERT VALERIE,22/05/2014,REPAS,€27,,
BARD FRANCE SAS,Infirmier,RUIZ VERONIQUE,24/01/2014,REPAS,€64,,
BARD FRANCE SAS,Infirmier,RUIZ VERONIQUE,25/01/2014,REPAS,€16,,
BARD FRANCE SAS,Médecin,ABBADIE FABRICE,12/06/2014,HEBERGEMENT,€111,,
BARD FRANCE SAS,Médecin,ABBADIE FABRICE,12/06/2014,INSCRIPTION,€525,,
BARD FRANCE SAS,Médecin,ABBADIE FABRICE,02/12/2013,REPAS,€55,,
BARD FRANCE SAS,Médecin,BODNAR DOMINIQUE,02/12/2013,REPAS,€55,,
BARD FRANCE SAS,Médecin,GAUDIN MARIE,12/06/2014,TRANSPORT,€345,,
BARD FRANCE SAS,Médecin,GAUDIN MARIE,12/06/2014,INSCRIPTION,€525,,
BARD FRANCE SAS,Médecin,GAUDIN MARIE,12/06/2014,HEBERGEMENT,€111,,
BARD FRANCE SAS,Médecin,HEYNEN YVES GABRIEL,21/06/2013,TRANSPORT,€172,,
BARD FRANCE SAS,Médecin,HEYNEN YVES-GABRIEL,02/12/2013,REPAS,€55,,
BARD FRANCE SAS,Médecin,KOUZEZ MAZEN,02/12/2013,REPAS,€55,,
BARD FRANCE SAS,Médecin,PLACE STEPHANE,30/07/2013,REPAS,€37,,
BARD FRANCE SAS,Médecin,RUIZ FRANCK,24/01/2014,INSCRIPTION,€230,,
BARD FRANCE SAS,Médecin,RUIZ FRANCK,24/01/2014,HEBERGEMENT,€390,,
BARD FRANCE SAS,Médecin,RUIZ FRANCK,25/01/2014,REPAS,€16,,
BARD FRANCE SAS,Médecin,RUIZ FRANCK,24/01/2014,REPAS,€60,,
BARD FRANCE SAS,Médecin,RUIZ FRANCK,24/01/2014,REPAS,€64,,
Bastide Le Confort Médical,Médecin,Long Jean Louis,28/05/2014,Repas,€20,,
Bayer HealthCare SAS,Médecin,FEBVRE ROMAIN,22/10/2013,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,FEBVRE ROMAIN,10/12/2013,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,FEBVRE ROMAIN,13/06/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,LALLIER SYLVIE CORINE,27/06/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,LAVAUD TABARLY SOPHIE,18/10/2013,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,REYNAUD JACQUELINE,27/06/2014,Hospitalité,€43,,
