ARROW GENERIQUES SAS,Pharmacien,RICCI DIDIER,09/12/2013,REPAS,€50,,
ASTRAZENECA,Médecin,FAYOLLE JEAN PATRICK,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,FAYOLLE JEAN PATRICK,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOBIN MARC,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOBIN MARC,24/09/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,LOBIN MARC,03/07/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LOBIN MARC,03/07/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LOBIN MARC,02/10/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,LOBIN MARC,02/10/2013,Hospitalité,€60,,
BIOGEN IDEC FRANCE,Médecin,FAYOLLE JEAN PATRICK,27/11/2013,REPAS,€52,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUSSON SOPHIE,27/03/2014,[AUTRE],€30,,
colgate palmolive,Chirurgien-dentiste,BOISSIEUX ALAIN,15/04/2014,Dons de materiel,€16,,
DJO France SAS,Masseur-kinésithérapeute,PERRIER FAURE Sylvie,16/11/2013,Repas,€67,,
DJO France SAS,Masseur-kinésithérapeute,VALENCIA Fabien,16/11/2013,Repas,€67,,
ICOMED,Chirurgien-dentiste,DENEVE BENOIT,27/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GARNUNG PIERRE JEAN,18/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,PASQUIER ERIC,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,DELLENBACH FRANCE,13/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,FAYOLLE JEAN PATRICK,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,KALOUSTIAN EDGAR,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LOBIN MARC,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LOBIN MARC,14/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LOBIN MARC,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,RAYNAL BENOIT,07/01/2013,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOBIN MARC,04/09/2013,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOBIN MARC,06/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOBIN MARC,18/02/2014,REPAS,€60,,
LABORATOIRES COLOPLAST,Infirmier,NEUVILLE GUILLAUME,18/04/2014,Repas,€42,,
LABORATOIRES COLOPLAST,Infirmier,RAFIGNON ALINE,18/04/2014,Repas,€42,,
LABORATOIRES COLOPLAST,Infirmier,ROGER NATHALIE,18/04/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,LOBIN MARC,02/07/2013,Repas,€55,,
Lilly France SAS,Médecin,LOBIN MARC,17/09/2013,REPAS,€60,,
Lilly France SAS,Médecin,LOBIN MARC,03/04/2014,REPAS,€60,,
Lilly France SAS,Médecin,LOBIN MARC,13/03/2014,REPAS,€60,,
MEDEXACT,Médecin,KALOUSTIAN EDGAR,17/06/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,RAYNAL BENOIT,13/05/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,LOBIN MARC,17/10/2013,REPAS,€50,,
MSD France,Médecin,LOBIN MARC,22/05/2012,REPAS,€56,,
MSD France,Médecin,LOBIN MARC,04/12/2013,REPAS,€45,,
MSD France,Médecin,LOBIN MARC,05/03/2014,REPAS,€49,,
MSD France,Médecin,LOBIN MARC,02/04/2014,REPAS,€51,,
MSD France,Médecin,VASSEUR CHRISTINE,10/04/2012,REPAS,€19,,
NOVO NORDISK,Médecin,LOBIN MARC,07/11/2013,REPAS,€55,,
NOVO NORDISK,Médecin,LOBIN MARC,20/03/2014,REPAS,€58,,
PIERRE FABRE MEDICAMENT,Médecin,LOBIN MARC,09/04/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LOBIN MARC,30/05/2013,Restauration,€49,,
PIERRE FABRE MEDICAMENT,Médecin,LOBIN MARC,07/01/2014,RESTAURATION,€60,,
SANOFI AVENTIS FRANCE,Médecin,KALOUSTIAN EDGAR,11/03/2014,Hébergement,€660,,
SANOFI AVENTIS FRANCE,Médecin,KALOUSTIAN EDGAR,11/03/2014,Transport,€186,,
SANOFI AVENTIS FRANCE,Médecin,KALOUSTIAN EDGAR,11/03/2014,Inscription,€310,,
SANOFI AVENTIS FRANCE,Médecin,LOBIN MARC,10/10/2013,Restauration,€54,,
Zimmer Dental SAS,Chirurgien-dentiste,DENEVE BENOIT,10/10/2013,REPAS,€39,,
