BOIRON,Médecin,DELBAERE ALAIN,15/10/2013,[REPAS],€27,,
ICOMED,Médecin,DELBAERE ALAIN,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DELBAERE ALAIN,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,LAMOTTE MARIE MARTINE,11/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAMOTTE MARIE MARTINE,09/01/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOTTE MARIE MARTINE,12/03/2014,REPAS,€47,,
LABORATOIRES CONVATEC,Infirmier,TELLIEZ EMILIE,19/11/2013,DINER,€42,,
OCP REPARTITION,Pharmacien,STAS ELISABETH,16/06/2014,REPAS,€93,,
PIERRE FABRE MEDICAMENT,Médecin,LAMOTTE MARIE MARTINE,13/03/2013,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Médecin,LAMOTTE MARIE MARTINE,03/10/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Médecin,LAMOTTE MARIE MARTINE,11/09/2013,RESTAURATION,€30,,
