AbbVie,Pharmacien,MEURISSE CLOTHILDE,17/04/2014,REPAS,€60,,
BIOCODEX,Médecin,DELASSUS ARNAULD,23/10/2013,REPAS,€58,,
BOIRON,Médecin,ANOUILH YANNICK,12/12/2013,[REPAS],€30,,
BOIRON,Médecin,ANOUILH YANNICK,12/06/2014,[REPAS],€45,,
BOIRON,Médecin,ANOUILH YANNICK,10/06/2014,[REPAS],€43,,
BOIRON,Médecin,BERTAGNE LEGRU PASCALE,12/06/2014,[REPAS],€45,,
BOIRON,Médecin,BERTAGNE LEGRU PASCALE,11/12/2013,[REPAS],€13,,
BOIRON,Médecin,BERTAGNE LEGRU PASCALE,10/06/2014,[REPAS],€43,,
BRISTOL-MYERS SQUIBB,Médecin,ANOUILH YANNICK,02/07/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,ANOUILH YANNICK,24/09/2013,Repas,€51,,
DAIICHI SANKYO FRANCE SAS,Médecin,ANOUILH YANNICK,14/01/2014,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,ANOUILH YANNICK,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEAUGENDRE EDOUARD,24/09/2013,Repas,€51,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEAUGENDRE EDOUARD,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEAUGENDRE EDOUARD,14/01/2014,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,GLUSZAK ERIC,24/09/2013,Repas,€51,,
DAIICHI SANKYO FRANCE SAS,Médecin,SUMJACZI DOMINIQUE,24/09/2013,Repas,€51,,
DAIICHI SANKYO FRANCE SAS,Médecin,SUMJACZI DOMINIQUE,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TAHON OLIVIER,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TAHON OLIVIER,14/01/2014,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,TAHON OLIVIER,13/05/2014,Repas,€60,,
DJO France SAS,Pharmacien,HENGUELLE AURELIE,22/05/2014,Repas,€20,,
GIBAUD,Pharmacien,DELFY HENGUELLE AURELIE,26/06/2014,Repas,€10,,
GIBAUD,Pharmacien,FONTAINE KARINE,26/06/2014,Repas,€10,,
GIBAUD,Pharmacien,HENGUELLE ANNICK,26/06/2014,Repas,€10,,
GIBAUD,Pharmacien,HENGUELLE ELISE,26/06/2014,Repas,€10,,
GIBAUD,Pharmacien,HENGUELLE JEAN PIERRE,26/06/2014,Repas,€10,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DENYS CELINE,26/06/2014,Repas,€10,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUBURE VIRGINIE,26/06/2014,Repas,€10,,
GUERBET France,Médecin,ANDRIS PASCALE,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,ANDRIS PASCALE,28/11/2013,AUTRE : PACKAGE,"€2,795",,
ICOMED,Médecin,ANOUILH YANNICK,25/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BEAUGENDRE EDOUARD,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,BERTAGNE LEGRU PASCALE,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,GLUSZAK ERIC,10/12/2013,Autre: [Enquête],€30,,
