AMGEN SAS,Médecin,BUCUR SIMONA,18/03/2014,REPAS IMPROMPTU,€21,,
ASTELLAS PHARMA,Médecin,SARAZIN OLIVIER,06/02/2014,REPAS,€53,,
ASTELLAS PHARMA,Médecin,SITHAKHAM NICOLE,23/01/2013,HOSPITALITE,€105,,
ASTRAZENECA,Etudiant,CHARRETIER REMI,04/04/2014,Repas,€43,,
ASTRAZENECA,Etudiant,CHARRETIER REMI,01/04/2014,Repas,€57,,
ASTRAZENECA,Etudiant,CHARRETIER REMI,21/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,COSTA DROLON EMMANUEL,28/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,COSTA DROLON EMMANUEL,21/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,COSTA DROLON EMMANUEL,01/04/2014,Repas,€57,,
ASTRAZENECA,Etudiant,SARRET NATHALIE,04/04/2014,Repas,€43,,
ASTRAZENECA,Infirmier,ANANI FATNA,31/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,ARTICE CAMILLE,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BEBOT SANDRINE,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BIGORNE KARINE,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GARDIN DORIANE,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GIBUS BRIGITTE,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GUESDON LUCIE,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GUESDON LUCIE,07/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,KAMAGATE AWA,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,KHELIL ABDENOUR,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,KHELIL ABDENOUR,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,LAFORTUNE SOPHONIE,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,MBUNDANI CORINNE,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,MBUNDANI CORINNE,07/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,MOCQUET THERESE,07/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,MOCQUET THERESE,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,NGAGNI RICHARD,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,NGANI RICHARD,07/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,PAQUETTE LAETICIA,08/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,PIETRZAK SYLVIE,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,RAZRIARIMAHANA LALAO,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,SAMPAIO MADALENA,05/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,TECQUERT MYRIAM,14/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,BACHIR NADIR,14/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,BACHIR NADIR,07/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,BALHASKA ABDELKADER,10/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,BELLEIL ELISABETH,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BELLEIL ELISABETH,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BELLEIL ELISABETH,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BENARBIA FARID,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENARBIA FARID,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,17/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,BENDJENANA Ghislaine,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,BENDJENANA Ghislaine,18/10/2013,Transport,€537,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENDJENANA Ghislaine,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,31/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,BENDJENANA Ghislaine,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,08/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,BENDJENANA GHISLAINE,27/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENKARA KARIMA,05/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,BENKARA Karima,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,BENKARA Karima,18/10/2013,Transport,€559,,
ASTRAZENECA,Médecin,BENKARA Karima,18/10/2013,Hébergement,€206,,
ASTRAZENECA,Médecin,BENKARA Karima,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,BOURAT HUGUES,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOURAT HUGUES,27/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BOURAT HUGUES,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BUCUR Simona,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,BUCUR SIMONA,05/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,BUCUR Simona,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,BUCUR Simona,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,BUCUR Simona,18/10/2013,Transport,€537,,
ASTRAZENECA,Médecin,DERRIDJ SAMIA,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DERRIDJ SAMIA,17/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,DERRIDJ SAMIA,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DJELID KEMIM DJAMILA,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GAILLOT FLORENCE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GAILLOT FLORENCE,31/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,GAILLOT FLORENCE,25/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GLACHANT HUET DELPHINE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GLIKMAN JACQUES,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GLIKMAN JACQUES,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GLIKMAN JACQUES,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GLIKMAN JACQUES,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GORCEIX LAURENCE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GUERIN AGNES,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GUERIN AGNES,27/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,GUERIN AGNES,01/04/2014,Repas,€57,,
