ABBOTT PRODUCTS SAS,Pharmacien,Martin Jean-Luc,11/12/2013,REPAS,€17,,
Bayer HealthCare SAS,Médecin,HUBERT ALAIN,19/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PARIENTE ANNE MARIE,16/01/2014,Hospitalité,€32,,
BIOCODEX,Médecin,MEUNIER GRELET ISABELLE,15/04/2014,REPAS,€31,,
BOIRON,Médecin,BENSIMON MOLINARI JOELLE,22/05/2014,[REPAS],€39,,
BOIRON,Médecin,BENSIMON MOLINARI JOELLE,28/11/2013,[REPAS],€54,,
CHIESI SA,Médecin,HILLALI FLORENT,06/11/2013,Repas,€53,,
CHIESI SA,Médecin,ISMAIL FLORENCE,28/01/2014,Repas,€53,,
colgate palmolive,Chirurgien-dentiste,COURDI STEPHANE,07/11/2013,REPAS,€15,,
galderma international,Médecin,BARELLI LYDIE,17/04/2014,Repas,€59,,
galderma international,Médecin,BARELLI LYDIE,25/04/2014,Repas,€14,,
ICOMED,Chirurgien-dentiste,COURDI STEPHANE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,COURDI STEPHANE,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,MATHIEU ANTOINE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,HUBERT ALAIN,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HUBERT JEAN CHARLES,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NERI FRANCOIS,29/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,NERI FRANCOIS,25/03/2013,Autre: [Enquête],€26,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,GABRIELI & BRESCIANI,17/12/2012,Autre,€10,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,GABRIELI & BRESCIANI,17/12/2012,Cadeaux,€288,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ATTIA VERONIQUE,03/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BASSINO ARMAND,15/06/2012,Hospitalité,€61,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BASSINO ARMAND,20/06/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BASSINO ARMAND,21/02/2013,Hospitalite,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HILLALI FLORENT,07/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT ALAIN,17/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT ALAIN,16/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT ALAIN,26/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT ALAIN,15/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBERT JEAN CHARLES,17/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ISMAIL FLORENCE,08/03/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ISMAIL FLORENCE,21/03/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ISMAIL FLORENCE,27/09/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEUNIER GRELET ISABELLE,14/05/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEUNIER GRELET ISABELLE,11/03/2014,REPAS,€35,,
Laboratoires Expanscience,Médecin,ISMAIL FLORENCE,06/06/2014,Repas,€55,,
Laboratoires Grünenthal SAS,Médecin,HILLALI FLORENT,05/02/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,HUBERT ALAIN,05/02/2014,REPAS,€55,,
Laboratoires PRED,Chirurgien-dentiste,Mathieu Philippe,26/08/2013,Dons de matériel,€320,,
LABORATOIRES URGO,Pharmacien,ZANCHI Raphael,30/04/2014,Repas,€17,,
LABORATOIRES URGO,Pharmacien,ZANCHI Raphael,30/04/2014,Repas,€17,,
Labvoratoire CHAUVIN,Médecin,PARIENTE ANNE MARIE,21/11/2013,AUTRE : [INSCRIPTION CONGRES],€26,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,17/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,20/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,18/03/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,19/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,04/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUBERT ALAIN,17/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HUBERT JEAN-CHARLES,18/03/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,ISMAIL FLORENCE,29/04/2014,Repas,€44,,
Lilly France SAS,Médecin,HUBERT ALAIN,11/09/2013,REPAS,€65,,
Lilly France SAS,Médecin,NERI FRANCOIS,19/03/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€109,,
Lilly France SAS,Médecin,NERI FRANCOIS,30/11/2013,TRANSPORT,€354,,
MEDEXACT,Médecin,ATTIA VERONIQUE,03/06/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,BASSINO ARMAND,19/11/2013,REPAS,€58,,
MERCK SERONO,Médecin,MESPLIER VALERIE,03/04/2014,REPAS,€31,,
MSD France,Médecin,ATTIA VERONIQUE,25/03/2014,REPAS,€55,,
MSD France,Médecin,BASSINO ARMAND,20/03/2014,REPAS,€62,,
MSD France,Médecin,HUBERT ALAIN,07/11/2013,REPAS,€60,,
MSD France,Médecin,HUBERT ALAIN,05/03/2014,REPAS,€60,,
MSD France,Médecin,HUBERT ALAIN,05/03/2014,REPAS,€60,,
MSD France,Médecin,HUBERT ALAIN,07/11/2013,REPAS,€60,,
MSD France,Médecin,HUBERT ALAIN,27/02/2014,REPAS,€50,,
MSD France,Médecin,ISMAIL FLORENCE,15/10/2013,REPAS,€60,,
MSD France,Médecin,ISMAIL FLORENCE,20/03/2014,REPAS,€62,,
MSD France,Médecin,ISMAIL FLORENCE,25/02/2014,REPAS,€67,,
MSD France,Médecin,MESPLIER VALERIE,28/03/2014,REPAS,€36,,
MSD France,Médecin,MESPLIER VALERIE,18/11/2013,REPAS,€35,,
MSD France,Médecin,MESPLIER VALERIE,04/10/2013,REPAS,€34,,
NOVARTIS PHARMA SAS,Médecin,BASSINO ARMAND,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
