APTALIS PHARMA SAS,Médecin,SOWINSKI JEAN PHILIPPE,05/12/2013,FRAIS D'HOSPITALITÉ,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,17/06/2014,Repas,€29,,
ICOMED,Médecin,DEHERRIPONT JEAN FRANCOIS,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEHERRIPONT JEAN FRANCOIS,06/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,PIED PATRICK,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PIED PATRICK,07/11/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,PIED PATRICK,14/01/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,03/05/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIED PATRICK,15/01/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIED PATRICK,03/04/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIED PATRICK,14/05/2013,Hospitalite,€52,,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,19/06/2014,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,06/03/2014,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,SOWINSKI JEAN PHILIPPE,11/12/2013,Repas,€54,,
MENARINI FRANCE,Médecin,CARDOT PHILIPPE,08/10/2013,REPAS,€31,,
MENARINI FRANCE,Médecin,PIED PATRICK,08/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,PIED PATRICK,08/10/2013,REPAS,€31,,
MSD France,Médecin,SOWINSKI JEAN PHILIPPE,19/03/2014,REPAS,€60,,
MSD France,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,24/09/2013,REPAS,€30,,
NOVARTIS PHARMA SAS,Médecin,SOWINSKI JEAN PHILIPPE,16/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,CARDOT PHILIPPE,13/05/2014,REPAS,€41,,
PIERRE FABRE MEDICAMENT,Médecin,ANTHONY SYLVIE,24/01/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,CARDOT PHILIPPE,28/01/2013,Restauration,€15,,
PIERRE FABRE MEDICAMENT,Médecin,CARDOT PHILIPPE,06/06/2013,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,SOWINSKI JEAN PHILIPPE,05/01/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,SOWINSKI JEAN PHILIPPE,21/03/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,SOWINSKI JEAN PHILIPPE,24/01/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,SOWINSKI JEAN PHILIPPE,18/10/2012,Restauration,€11,,
PIERRE FABRE MEDICAMENT,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,05/01/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,08/02/2013,Restauration,€25,,
SANOFI AVENTIS FRANCE,Médecin,THUMEREL DECARSIN MARIE FRANCOISE,06/05/2014,Repas,€54,,
