ALLERGAN FRANCE,Médecin,ABBAS HUSSEIN,20/12/2013,REPAS,€26,,
ANTHOGYR,Médecin,ALEXANDRE Olivier,28/11/2013,Repas ou Hébèrgement,€46,,
ANTHOGYR,Médecin,MARLOIS Nicolas,28/11/2013,Repas ou Hébèrgement,€46,,
BSN-RADIANTE SAS,Pharmacien,CIVALLERI Nicolas,03/04/2014,Repas,€25,,
BSN-RADIANTE SAS,Pharmacien,DEBEAUD-JOLIVET Christine,03/04/2014,Repas,€25,,
BSN-RADIANTE SAS,Pharmacien,PASQUIER Laëtitia,03/04/2014,Repas,€25,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KERKOVITCH Allan,03/04/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOIRON PHILIPPE,05/07/2013,Repas,€13,,
ICOMED,Médecin,BOIRON PHILIPPE,28/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,BOIRON PHILIPPE,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CHAMBERT YVES,25/03/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,DUBREUIL VALERIE,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUBREUIL VALERIE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRASSER PHILIPPE,07/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GRASSER PHILIPPE,24/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MISPREUVE DAVID,16/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MISPREUVE DAVID,21/01/2014,Autre: [Enquête],€25,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,JOUVE SONIA,16/04/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,BILLON PIERRE,18/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MAZEYRAT HANSIANE,18/02/2014,Repas,€60,,
MEDEXACT,Médecin,MISPREUVE DAVID,29/05/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,GRASSER PHILIPPE,18/12/2013,AUTRE : RNT,€47,,
MENARINI FRANCE,Médecin,MISPREUVE DAVID,12/04/2014,Autre : [Forfait],€286,,
MSD France,Médecin,BILLON PIERRE,22/10/2013,REPAS,€60,,
MSD France,Médecin,GRASSER PHILIPPE,22/10/2013,REPAS,€60,,
MSD France,Médecin,GRASSER PHILIPPE,10/12/2013,REPAS,€31,,
MSD France,Médecin,SIMON ARLHAC NATHALIE,22/10/2013,REPAS,€60,,
MSD France,Médecin,SIMON ARLHAC NATHALIE,10/12/2013,REPAS,€31,,
MYLAN SAS,Pharmacien,JOUVE SONIA,28/10/2013,REPAS,€11,,
MYLAN SAS,Pharmacien,JOUVE SONIA,22/04/2014,REPAS,€12,,
PIERRE FABRE MEDICAMENT,Médecin,BILLON PIERRE,23/05/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,GRASSER PHILIPPE,01/03/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MAZEYRAT ALAIN,23/05/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,MAZEYRAT ALAIN,19/03/2014,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,SIMON ARLHAC NATHALIE,09/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,SIMON ARLHAC NATHALIE,01/03/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,SIMON ARLHAC NATHALIE,26/03/2013,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Médecin,SIMON ARLHAC NATHALIE,18/04/2014,RESTAURATION,€39,,
SANOFI AVENTIS FRANCE,Médecin,MAZEYRAT CLAUZIER HANSIANE,12/06/2014,Repas,€54,,
Schulke France SARL,Chirurgien-dentiste,MANDAGOUT ERIC,26/11/2013,offre ADF,€35,,
Schulke France SARL,Chirurgien-dentiste,ROPER LOUISE,26/11/2013,offre ADF,€35,,
TEVA SANTE SAS,Pharmacien,JOUVE SONIA,10/02/2014,REPAS,€11,,
TEVA SANTE SAS,Pharmacien,PERROT PHILIPPE,10/10/2013,REPAS,€60,,
TEVA SANTE SAS,Pharmacien,PERROT SYLVIE,10/10/2013,REPAS,€60,,
