ABBOTT PRODUCTS SAS,Médecin,POUPARD Pascal,19/09/2013,REPAS,€38,,
ALLERGAN FRANCE,Médecin,CHIVILO VANHOVE CHRISTINE,05/07/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,DJOUDI JAMAL,18/09/2013,REPAS,€41,,
ALLERGAN FRANCE,Médecin,DJOUDI JAMAL,05/07/2013,REPAS,€21,,
ASTRAZENECA,Médecin,DEBONNAIRE JOELLE,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,POUPARD PASCAL,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,POUPARD PASCAL,03/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROBERT DOMINIQUE,03/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROBERT DOMINIQUE,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,SABOURIN TISSEYRE ANOUTCHKA,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SABOURIN TISSEYRE ANOUTCHKA,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,SELLAM SYLVAIN,12/09/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,POUPARD PASCAL,11/07/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,POUPARD PASCAL,22/05/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,POUPARD PASCAL,12/12/2013,Hospitalité,€48,,
Bayer HealthCare SAS,Médecin,ROBERT DOMINIQUE,11/07/2013,Hospitalité,€40,,
BIOCODEX,Médecin,POUPARD PASCAL,17/10/2013,REPAS,€34,,
BIOCODEX,Médecin,ROBERT DOMINIQUE,17/10/2013,REPAS,€34,,
BIOGARAN,Pharmacien,DAILLIER GIBOIN PASCALE,23/06/2014,REPAS,€27,,
BIOGARAN,Pharmacien,KEPINSKI SANDRINE,23/06/2014,REPAS,€27,,
BIOGARAN,Pharmacien,SHIPLEY LAURENT,23/06/2014,REPAS,€27,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEFIOLLE CAMILLE,23/06/2014,REPAS,€27,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DURAND EMILIE,23/06/2014,REPAS,€27,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FREGEAIS VALERIE,23/06/2014,REPAS,€27,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POINT ANNE CLAIRE,23/06/2014,REPAS,€27,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POUPARD PASCAL,04/07/2013,HOSPITALITE,€33,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POUPARD PASCAL,27/02/2014,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROBERT DOMINIQUE,27/02/2014,HOSPITALITE,€40,,
BOIRON,Médecin,SABOURIN TISSEYRE ANOUTCHKA,25/03/2014,[REPAS],€53,,
BOIRON,Pharmacien,SHIPLEY LAURENT,01/04/2014,[REPAS],€22,,
BOIRON,Pharmacien,SHIPLEY LAURENT,05/11/2013,[REPAS],€22,,
BOIRON,Pharmacien,SHIPLEY LAURENT,01/04/2014,[REPAS],€22,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MINOT MICHELLE,05/11/2013,[REPAS],€22,,
CONGRES COLLOQUES CONVENTIONS,Médecin,POUPARD PASCAL,23/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,SELLAM SYLVAIN,23/11/2013,REPAS,€30,,
