ABBOTT PRODUCTS SAS,Médecin,NOIZET Carole,21/11/2013,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,CHABANNE MARC,08/10/2013,REPAS,€50,,
ASTRAZENECA,Médecin,CHABANNE MARC,28/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,NOIZET CAROLE,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,NOIZET CAROLE,28/01/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,PUJOS PIERRE,29/11/2013,Hospitalité,€34,,
ICOMED,Médecin,CHABANNE MARC,07/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CHABANNE MARC,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUMAS ALAIN,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DUMAS ALAIN,21/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PUJOS PIERRE,18/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,PUJOS PIERRE,29/11/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRABANT YANN,12/12/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUNET VINCENT,12/12/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHABANNE MARC,12/12/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHABANNE MARC,20/11/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOIZET CAROLE,26/06/2012,Hospitalité,€59,,
LES LABORATOIRES SERVIER,Médecin,NOIZET CAROLE,28/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,NOIZET CAROLE,13/03/2014,Repas,€60,,
MEDEXACT,Médecin,CHABANNE MARC,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,NOIZET CAROLE,05/11/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,NOIZET CAROLE,05/12/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,PUJOS PIERRE,05/11/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,PUJOS PIERRE,12/04/2014,Autre : [Forfait],€300,,
MENARINI FRANCE,Médecin,PUJOS PIERRE,23/08/2013,AUTRE : RNT,€44,,
MSD France,Médecin,DESROCHES NADINE,05/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,CHABANNE MARC,05/04/2014,HOSPITALITE REUNION PROFESSIONNELLE,€380,,
PIERRE FABRE MEDICAMENT,Médecin,NOIZET CAROLE,13/09/2012,HÃƒÂ©bergement,€108,,
PIERRE FABRE MEDICAMENT,Médecin,NOIZET CAROLE,13/09/2012,Frais de dÃƒÂ©placement,€70,,
PIERRE FABRE MEDICAMENT,Médecin,NOIZET CAROLE,13/09/2012,Restauration,€112,,
PIERRE FABRE MEDICAMENT,Médecin,PUJOS PIERRE,20/11/2012,Restauration,€29,,
RANBAXY PHARMACIE GENERIQUES,Pharmacien,ANDRE PATRICK,14/01/2014,Repas,€27,,
RANBAXY PHARMACIE GENERIQUES,Pharmacien,ANDRE Patrick,12/09/2013,Repas,€18,,
SANOFI AVENTIS FRANCE,Pharmacien,BLAIN ELIZE,11/04/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Pharmacien,RIGOUREAU BERTRAND,11/04/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUSSET VANESSA,11/04/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEIDA VIRGINIE,11/04/2014,Repas,€36,,
STRYKER FRANCE SAS,Médecin,COTONEA YANN,10/06/2013,Autre : REPAS,€50,,
TEVA SANTE SAS,Médecin,CHABANNE MARC,22/01/2014,REPAS,€40,,
TEVA SANTE SAS,Médecin,PUJOS PIERRE,10/01/2014,REPAS,€58,,
TEVA SANTE SAS,Médecin,PUJOS PIERRE,10/01/2014,REPAS,€58,,
