ABBOTT PRODUCTS SAS,Médecin,PINGANAUD Gregory,28/11/2013,REPAS,€51,,
ALFA WASSERMANN PHARMA,Médecin,FAURE MICHEL,08/04/2014,REPAS,€50,,
ALFA WASSERMANN PHARMA,Médecin,GUISLAIN CHRISTIAN,08/04/2014,REPAS,€50,,
ALFA WASSERMANN PHARMA,Médecin,ROUET MARION,08/04/2014,REPAS,€50,,
ASTRAZENECA,Médecin,DENIS ROBERT,10/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GUISLAIN CHRISTIAN,10/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,PINGANAUD GREGORY,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PINGANAUD GREGORY,05/05/2014,Repas,€43,,
Bayer HealthCare SAS,Pharmacien,GUYONNET MARIE-LAURE,20/06/2014,REPAS,€16,,
Bayer HealthCare SAS,Pharmacien,HUGAULT SEVERINE,20/06/2014,REPAS,€16,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BONNIN ANNE-LAURE,20/06/2014,REPAS,€16,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CEDANO CINDY,20/06/2014,REPAS,€16,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALLADE MELANIE,20/06/2014,REPAS,€16,,
Bayer HealthCare SAS,Sage-femme,BILLAUD MARIE PIERRE,17/04/2014,Hospitalité,€45,,
Bayer HealthCare SAS,Sage-femme,TERRASSON CHANTAL,17/04/2014,Hospitalité,€45,,
BIOCODEX,Médecin,DENIS ROBERT,10/09/2013,REPAS,€57,,
BIOCODEX,Médecin,FAURE MICHEL,10/09/2013,REPAS,€57,,
BIOCODEX,Médecin,FAURE MICHEL,21/01/2014,REPAS,€55,,
BIOCODEX,Médecin,GUISLAIN CHRISTIAN,21/01/2014,REPAS,€55,,
BIOCODEX,Médecin,GUISLAIN CHRISTIAN,10/09/2013,REPAS,€57,,
BIOCODEX,Médecin,PINGANAUD GREGORY,21/01/2014,REPAS,€55,,
BIOCODEX,Médecin,ROUET MARION,10/09/2013,REPAS,€57,,
BIOCODEX,Médecin,ROUET MARION,21/01/2014,REPAS,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENIS ROBERT,23/10/2013,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CORNU PIERRE,08/07/2013,Repas,€16,,
BRISTOL-MYERS SQUIBB,Médecin,FAURE MICHEL,16/07/2013,Repas,€16,,
BRISTOL-MYERS SQUIBB,Médecin,PINGANAUD GREGORY,08/07/2013,Repas,€16,,
BRISTOL-MYERS SQUIBB,Médecin,ROUET MARION,16/07/2013,Repas,€16,,
BRISTOL-MYERS SQUIBB,Médecin,ROUET MARION,11/03/2014,Repas,€14,,
CHIESI SA,Médecin,CORNU PIERRE,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,DENIS ROBERT,03/12/2013,Repas,€22,,
CHIESI SA,Médecin,DENIS ROBERT,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,FAURE MICHEL,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,GUISLAIN CHRISTIAN,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,GUISLAIN CHRISTIAN,03/12/2013,Repas,€22,,
CHIESI SA,Médecin,ROUET MARION,07/01/2014,Repas,€30,,
CHIESI SA,Médecin,SOL HELENE,07/01/2014,Repas,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DENIS ROBERT,23/11/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BERNARD SOPHIE,27/01/2014,REPAS,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,DENIS ROBERT,03/09/2013,Repas,€56,,
DAIICHI SANKYO FRANCE SAS,Médecin,FAURE MICHEL,03/09/2013,Repas,€56,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUISLAIN CHRISTIAN,03/09/2013,Repas,€56,,
ICOMED,Médecin,FAURE MICHEL,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FAURE MICHEL,05/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GUISLAIN CHRISTIAN,06/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,SOL HELENE,04/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CORNU PIERRE,19/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,25/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,23/05/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,19/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,21/03/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,17/09/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,10/04/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENIS ROBERT,05/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,10/06/2014,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,01/10/2013,REPAS,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,10/07/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,27/03/2012,Hospitalité,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,04/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,19/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,01/10/2013,REPAS,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,23/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE MICHEL,04/12/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUISLAIN CHRISTIAN,04/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUISLAIN CHRISTIAN,25/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUISLAIN CHRISTIAN,29/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUISLAIN CHRISTIAN,19/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUISLAIN CHRISTIAN,27/03/2012,Hospitalité,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINGANAUD GREGORY,10/06/2014,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINGANAUD GREGORY,19/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROBERT DENIS,26/01/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUET MARION,10/06/2014,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUET MARION,04/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUET MARION,01/10/2013,REPAS,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOL HELENE,04/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOL HELENE,04/12/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOL HELENE,10/07/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOL HELENE,23/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOL HELENE,23/02/2012,Hospitalité,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DENIS ROBERT,24/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FAURE MICHEL,24/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GUISLAIN CHRISTIAN,24/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BENAITEAU LAURENCE,02/10/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BENAITEAU LAURENCE,19/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BENAITEAU LAURENCE,13/06/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUYONNET MARIE LAURE,19/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUYONNET MARIE LAURE,02/10/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUYONNET MARIE LAURE,13/06/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,HUGAULT SEVERINE,13/06/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,HUGAULT SEVERINE,19/03/2014,Repas,€45,,
Laboratoires Expanscience,Médecin,DENIS ROBERT,25/09/2013,Repas,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENIS ROBERT,20/05/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,FAURE MICHEL,20/05/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,ROUET MARION,20/05/2014,HOSPITALITE,€45,,
LES LABORATOIRES SERVIER,Médecin,CORNU PIERRE,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,CORNU PIERRE,18/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DENIS ROBERT,17/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DENIS ROBERT,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,DENIS ROBERT,06/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DENIS ROBERT,01/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,25/03/2014,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,17/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,06/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,01/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,18/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,FAURE MICHEL,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,GUISLAIN CHRISTIAN,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,GUISLAIN CHRISTIAN,17/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,GUISLAIN CHRISTIAN,25/03/2014,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,GUISLAIN CHRISTIAN,01/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GUISLAIN CHRISTIAN,06/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,HEBRAS-LELONG CHRISTELLE,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,PINGANAUD GREGORY,18/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,PINGANAUD GREGORY,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,PINGANAUD GREGORY,06/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,ROUET MARION,06/05/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,ROUET MARION,08/10/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,SOL HELENE,08/10/2013,Repas,€40,,
Lilly France SAS,Médecin,DENIS ROBERT,16/10/2013,REPAS,€45,,
Lilly France SAS,Médecin,GUISLAIN CHRISTIAN,16/10/2013,REPAS,€45,,
Lilly France SAS,Médecin,GUISLAIN CHRISTIAN,02/04/2014,REPAS,€50,,
MENARINI FRANCE,Médecin,DENIS ROBERT,25/02/2014,Autre : [Restauration],€58,,
