ABBOTT PRODUCTS SAS,Médecin,LOIS Jean michel,17/10/2013,REPAS,€39,,
ASTRAZENECA,Médecin,REAL PHILIPPE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,REAL PHILIPPE,29/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,REAL PHILIPPE,26/11/2013,Repas,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,REAL PHILIPPE,16/05/2014,HOSPITALITE,€39,,
BOEHRINGER INGELHEIM FRANCE,Médecin,REAL PHILIPPE,10/01/2014,HOSPITALITE,€25,,
colgate palmolive,Chirurgien-dentiste,BARANGER BERNARD,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,CIPRA VALERIE,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DE AZEVEDO SARAH,05/03/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,REAL PHILIPPE,14/09/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FOURNIOLS ANNIE,11/02/2014,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,REAL PHILIPPE,20/06/2014,Repas,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,REAL PHILIPPE,08/10/2013,Repas,€42,,
Dexter,Chirurgien-dentiste,DE AZEVEDO SARAH,20/06/2014,INVITATIONS,€17,,
Dexter,Chirurgien-dentiste,DE AZEVEDO SARAH,30/09/2013,Invitations,€17,,
Dexter,Chirurgien-dentiste,GUILBAUD SEGOLENE,31/12/2013,Invitations,€13,,
Dexter,Chirurgien-dentiste,GUILBAUD SEGOLENE,20/06/2014,INVITATIONS,€31,,
Dexter,Chirurgien-dentiste,GUILBAUD SEGOLENE,30/06/2013,Invitations,€18,,
Dexter,Chirurgien-dentiste,MORINEAU RAPHAEL,30/06/2013,Invitations,€18,,
Dexter,Chirurgien-dentiste,MORINEAU RAPHAEL,20/06/2014,INVITATIONS,€31,,
Dexter,Chirurgien-dentiste,MORINEAU RAPHAEL,30/06/2013,Invitations,€18,,
ICOMED,Chirurgien-dentiste,GUILBAUD SEGOLENE,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,GUILBAUD SEGOLENE,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,LOIS JEAN MICHEL,11/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LOIS JEAN MICHEL,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PENARD KARINE,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,REAL PHILIPPE,24/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,REAL PHILIPPE,06/03/2013,Autre: [Enquête],€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COLLET ANNE,16/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COLLET ANNE,19/12/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COLLET ANNE,19/03/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOIS JEAN MICHEL,19/12/2012,Hospitalité,€45,,
LABORATOIRES CONVATEC,Infirmier,BENETEAU ERIC,27/03/2014,REPAS,€22,,
LABORATOIRES CONVATEC,Infirmier,MOREAU AUDREY,27/03/2014,REPAS,€22,,
LABORATOIRES CONVATEC,Infirmier,RABILLER EMILIE,27/03/2014,REPAS,€22,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUTET JOËLLE,21/11/2013,REPAS,€20,,
LEO Pharma,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FORTIN CECILIA,24/09/2013,REPAS,€25,,
LES LABORATOIRES SERVIER,Médecin,LOIS JEAN-MICHEL,27/11/2013,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,LOIS JEAN-MICHEL,18/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,REAL PHILIPPE,03/10/2013,Repas,€55,,
Lilly France SAS,Pharmacien,CHARIER JACQUES,18/11/2013,TRANSPORT,€123,,
Lilly France SAS,Pharmacien,CHARIER JACQUES,17/11/2013,TRANSPORT,€123,,
Lilly France SAS,Pharmacien,CHARIER JACQUES,02/10/2013,REPAS,€44,,
MEDEXACT,Médecin,REAL PHILIPPE,03/06/2013,Autre: [Enquête],€20,,
MENARINI FRANCE,Médecin,CRACCO CHRISTOPHE,02/10/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,HESTEAU HERITEAU CHRISTINE,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,HESTEAU HERITEAU CHRISTINE,24/05/2014,Hébergement,€127,,
MENARINI FRANCE,Médecin,HESTEAU HERITEAU CHRISTINE,24/05/2014,Transport,€220,,
MENARINI FRANCE,Médecin,REAL PHILIPPE,24/05/2014,Transport,€141,,
MENARINI FRANCE,Médecin,REAL PHILIPPE,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,REAL PHILIPPE,24/05/2014,Hébergement,€127,,
MERZ PHARMA France,Médecin,CHARLOTTE GEORGES,29/03/2014,Repas,€45,,
MERZ PHARMA France,Médecin,CHARLOTTE GEORGES,03/12/2013,Repas,€32,,
MSD France,Médecin,HESTEAU HERITEAU CHRISTINE,19/12/2013,REPAS,€37,,
MSD France,Médecin,LOIS JEAN MICHEL,11/01/2012,HOSPITALITE,€33,,
NOVARTIS PHARMA SAS,Médecin,HESTEAU HERITEAU CHRISTINE,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,HESTEAU HERITEAU CHRISTINE,23/01/2014,Hébergement,€138,,
NOVARTIS PHARMA SAS,Médecin,HESTEAU HERITEAU CHRISTINE,25/03/2014,Autre : [Participation Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,HESTEAU HERITEAU CHRISTINE,18/02/2014,Repas,€10,,
NOVARTIS PHARMA SAS,Médecin,HESTEAU HERITEAU CHRISTINE,23/01/2014,Transport,€566,,
NOVARTIS PHARMA SAS,Médecin,LOIS JEAN MICHEL,11/03/2014,Repas,€10,,
OCP REPARTITION,Pharmacien,CHARIER JACQUES,17/12/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,CHARIER JACQUES,15/04/2014,REPAS,€24,,
OCP REPARTITION,Pharmacien,FOURNIOLS ANNIE,15/04/2014,REPAS,€24,,
OCP REPARTITION,Pharmacien,METREAU CHANTAL,17/12/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,METREAU CHANTAL,15/04/2014,REPAS,€24,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,BRETEGNIER BLANDINE,26/11/2013,REPAS,€42,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,BRETEGNIER CHRISTOPHE,26/11/2013,REPAS,€42,,
OXYPHARM,Pharmacien,FOURNIOLS ANNIE,23/05/2014,REPAS,€14,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,BECHEREAU PHILIPPE,06/03/2014,RESTAURATION,€18,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,CHARIER JACQUES,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,LOIS JEAN MICHEL,21/06/2012,Frais de dÃƒÂ©placement,€520,,
PIERRE FABRE MEDICAMENT,Médecin,LOIS JEAN MICHEL,21/06/2012,HÃƒÂ©bergement,€70,,
PIERRE FABRE MEDICAMENT,Médecin,LOIS JEAN MICHEL,14/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LOIS JEAN MICHEL,21/06/2012,Restauration,€124,,
RESEARCH NOW SAS,Médecin,BONNAN Jacky,19/10/2013,enquête,€19,,
SANOFI AVENTIS FRANCE,Masseur-kinésithérapeute,GAUTIER ARNAUD,29/01/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Pharmacien,BECHEREAU PHILIPPE,05/06/2014,Repas,€48,,
SANOFI AVENTIS FRANCE,Pharmacien,BECHEREAU PHILIPPE,03/04/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Pharmacien,BRETEGNIER CHRISTOPHE,16/10/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,BRETEGNIER CHRISTOPHE,16/04/2014,Repas,€23,,
SANOFI AVENTIS FRANCE,Pharmacien,CHARIER JACQUES,19/09/2013,Restauration,€31,,
SANOFI AVENTIS FRANCE,Pharmacien,CHARIER JACQUES,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,DON ELISABETH,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,DON ELISABETH,03/04/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Pharmacien,FOURNIOLS ANNIE,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,FOURNIOLS ANNIE,04/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,METREAU CHANTAL,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,METREAU CHANTAL,03/04/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNIER MONIQUE,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUTET JOELLE,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PENISSON SABRINA,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,QUAIREAU MATHIEU,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TROUILLARD SABRINA,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VRIGNEAU SOPHIE,16/04/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VRIGNEAU SOPHIE,05/06/2014,Repas,€48,,
TEVA SANTE SAS,Médecin,CHARLOTTE GEORGES,12/12/2013,REPAS,€15,,
TEVA SANTE SAS,Médecin,HESTEAU HERITEAU CHRISTINE,12/12/2013,REPAS,€15,,
