BIOGARAN,Pharmacien,DORANGE VALÉRIE,15/11/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
BOIRON,Pharmacien,DORANGE VALERIE,28/03/2014,[AUTRE],€15,,
BOIRON,Pharmacien,DORANGE VALERIE,10/04/2014,[REPAS],€28,,
BOIRON,Pharmacien,DORANGE VALERIE,10/04/2014,[REPAS],€28,,
BOIRON,Pharmacien,DORANGE VALERIE,11/04/2014,[REPAS],€24,,
BOIRON,Pharmacien,DORANGE VALERIE,11/04/2014,[AUTRE],€15,,
BOIRON,Pharmacien,DORANGE VALERIE,28/03/2014,[REPAS],€23,,
BOIRON,Pharmacien,DORANGE VALERIE,15/10/2013,[REPAS],€24,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KARINE RENE,15/10/2013,[REPAS],€24,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SANTI ISABELLE,10/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SANTI ISABELLE,10/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STRAUSS CELINE,15/10/2013,[REPAS],€24,,
BRAHMS FRANCE SAS,Médecin,BEAUJARD JEROME,05/06/2014,REPAS,€22,,
CENTRALE DES PEELINGS,Médecin,LEFEBVRE-SAGUI CAROLINE,17/12/2013,cadeaux,€15,,
colgate palmolive,Chirurgien-dentiste,LOUZ NADIR,05/03/2014,Dons de materiel,€16,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,TAMET CORALINE,11/03/2014,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,TAMET CORALINE,26/05/2014,REPAS,€33,,
GIBAUD,Pharmacien,DORANGE VALERIE,02/12/2013,Repas,€22,,
GIBAUD,Pharmacien,DURAND BERNARD,02/12/2013,Repas,€22,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORDONE CELINE,02/12/2013,Repas,€22,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DIGNACI SUZANNE,02/12/2013,Repas,€22,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REMI KARINE,02/12/2013,Repas,€22,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SANTI ISABELLE,02/12/2013,Repas,€22,,
ICOMED,Chirurgien-dentiste,CABROLIER MIREILLE,15/04/2013,Autre: [Enquête],€14,,
