ASTRAZENECA,Etudiant,MATHIEU SOPHIE,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FANTINO JEAN JACK,24/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,FANTINO JEAN JACK,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FANTINO JEAN JACK,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FANTINO JEAN JACK,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT FREDERIC,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MILLE LAURENCE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MILLE LAURENCE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MILLE LAURENCE,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MILLE LAURENCE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MILLE LAURENCE,10/09/2013,Repas,€57,,
BOIRON,Médecin,FANTINO JEAN JACK,19/02/2014,[REPAS],€45,,
BOIRON,Médecin,HUMBERT FREDERIC,19/02/2014,[REPAS],€45,,
CONGRES COLLOQUES CONVENTIONS,Médecin,HUMBERT FREDERIC,23/11/2013,REPAS,€30,,
ICOMED,Médecin,MILLE LAURENCE,23/06/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MILLE LAURENCE,15/03/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANTINO JEAN JACK,20/09/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANTINO JEAN JACK,14/06/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANTINO JEAN JACK,16/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANTINO JEAN JACK,18/09/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUMBERT FREDERIC,20/09/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUMBERT FREDERIC,18/09/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUMBERT FREDERIC,14/06/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MILLE LAURENCE,10/10/2013,REPAS,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MILLE LAURENCE,16/04/2014,REPAS,€17,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FANTINO JEAN JACK,24/10/2013,Repas,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FANTINO JEAN JACK,16/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HUMBERT FREDERIC,16/04/2014,Repas,€38,,
LABORATOIRES COLOPLAST,Infirmier,BAUDINIERE FRANCOISE,20/06/2014,Repas,€27,,
LABORATOIRES COLOPLAST,Infirmier,FANTINO AURELIE,22/11/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,FANTINO AURELIE,20/06/2014,Repas,€27,,
LABORATOIRES COLOPLAST,Infirmier,GEFFARD PIERRETTE,22/11/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,HOREN ANNE SOPHIE,20/06/2014,Repas,€27,,
LABORATOIRES COLOPLAST,Infirmier,HOREN ANNE SOPHIE,22/11/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Infirmier,OLIVIER BENOIT,20/06/2014,Repas,€27,,
LABORATOIRES COLOPLAST,Infirmier,OLIVIER BENOIT,22/11/2013,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,FANTINO JEAN-JACQUES,14/11/2013,Repas,€60,,
MSD France,Médecin,FANTINO JEAN JACK,15/05/2014,REPAS,€50,,
MSD France,Médecin,FANTINO JEAN JACK,30/01/2014,REPAS,€60,,
MSD France,Médecin,HUMBERT FREDERIC,15/05/2014,REPAS,€50,,
MSD France,Médecin,MILLE LAURENCE,15/05/2014,REPAS,€50,,
MSD France,Médecin,MILLE LAURENCE,30/01/2014,REPAS,€60,,
PFIZER SAS,Pharmacien,JOUSSELIN THIERRY,12/11/2013,Repas,€12,,
PFIZER SAS,Pharmacien,TROTTEREAU MICHEL,12/11/2013,Repas,€12,,
PIERRE FABRE MEDICAMENT,Médecin,MILLE LAURENCE,27/06/2013,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Pharmacien,FANTINO JUSTINE,27/06/2013,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Pharmacien,FANTINO JUSTINE,14/11/2012,Restauration,€17,,
SANOFI AVENTIS FRANCE,Pharmacien,DERAINS CATHERINE,12/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,JOUSSELIN THIERRY,28/01/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Pharmacien,TROTTEREAU MICHEL,28/01/2014,Repas,€19,,
TEVA SANTE SAS,Médecin,MILLE LAURENCE,23/05/2014,REPAS,€15,,
