ABBOTT FRANCE,Médecin,MOREAU FRANCOIS,12/03/2014,REPAS,€37,,
ALK-Abelló,Association professionnel de santé,ANAFORCAL Ile de France 78/92,02/01/2014,Autre : [Dons],"€5,000",,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,25/10/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/10/2012,TRANSPORT,€78,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/10/2012,AUTRE : [RESTAURATION],€95,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/10/2012,AUTRE : [INSCRIPTION],€450,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,08/04/2014,Autre : [Restauration],€46,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,AUTRE : [INSCRIPTION],€580,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,17/04/2013,AUTRE : [RESTAURATION],€35,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,TRANSPORT,€338,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,16/11/2013,HEBERGEMENT,€181,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,HEBERGEMENT,€480,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,19/03/2014,Autre : [Restauration],€54,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,16/11/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,02/07/2013,AUTRE : [RESTAURATION],€15,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/10/2012,HEBERGEMENT,€196,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,03/04/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,PASQUET NOUALHAGUET CHRISTINE,05/12/2013,AUTRE : [RESTAURATION],€248,,
