ALAIN AFFLELOU FRANCHISEUR,Médecin,LE BRIS PASCAL,01/12/2013,CADEAUX,€17,,
ASTELLAS PHARMA,Médecin,AHMED YAHIA ABDELHAFID,19/02/2014,REPAS,€60,,
ASTELLAS PHARMA,Médecin,AHMED YAHIA ABDELHAFID,03/04/2014,REPAS,€20,,
ASTELLAS PHARMA,Médecin,AHMED YAHIA ABDELHAFID,23/06/2014,REPAS,€35,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,14/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,18/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,AHMED YAHIA ABDELHAFID,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERRANGER ALEXIS,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,25/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,09/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHOUKROUN MARIE HELENE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CRAVIC J YVES,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,CRAVIC J YVES,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CRAVIC J YVES,14/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,14/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DIANA FULVIO,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,25/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,09/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER CATHERINE,06/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HINARD MARC,12/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HINARD MARC,18/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,CEJAERT BEATRICE,22/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,CESA MULOT MANON,22/10/2013,Repas,€57,,
ASTRAZENECA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIQUART LAURA,22/10/2013,Repas,€57,,
ASTRAZENECA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTEVES ISABELLE,22/10/2013,Repas,€57,,
ASTRAZENECA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POTHRON AMANDINE,22/10/2013,Repas,€57,,
ASTRAZENECA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RIBIERE SYLVIE,22/10/2013,Repas,€57,,
ASTRAZENECA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALO LISE,22/10/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,AHMED YAHIA ABDELHAFID,03/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,CHOUKROUN MARIE HELENE,03/04/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,FOURNIER CATHERINE,03/04/2014,Hospitalité,€56,,
BIOCODEX,Médecin,FOURNIER CATHERINE,05/06/2014,REPAS,€55,,
BIOCODEX,Médecin,FOURNIER CATHERINE,17/12/2013,REPAS,€55,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,NAUD DOMINIQUE,29/04/2014,HOSPITALITE,€16,,
BOIRON,Pharmacien,CEJAERT BEATRICE,05/12/2013,[REPAS],€23,,
BOIRON,Pharmacien,CESA MULOT MANON,05/12/2013,[REPAS],€23,,
BOIRON,Pharmacien,MOGAT CATHERINE,05/12/2013,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIQUART LAURA,05/12/2013,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAZEBROUCK ISABELLE,15/05/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAZEBROUCK ISABELLE,05/12/2013,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HYBRE MARIE-CHRISITINE,15/05/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOURDAN ANNE,15/05/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MYBRE MARIE-CHRISTINE,05/12/2013,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RIBIERE SYLVIE,05/12/2013,[REPAS],€23,,
BRISTOL-MYERS SQUIBB,Etudiant,JOURDAN DE LA PASSARDERE ANNE,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Etudiant,LEPORHIEL YASMINA,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Médecin,FOURNIER CATHERINE,05/12/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,FOURNIER CATHERINE,29/04/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Pharmacien,BRIARD ANNE,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Pharmacien,MUGAT CATHERINE,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTEVES ISABELLE,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAZEBROUCK ISABELLE,30/06/2014,Repas,€39,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POTHRON AMANDINE,30/06/2014,Repas,€39,,
CHIESI SA,Médecin,AHMED YAHIA ABDELHAFID,17/09/2013,Repas,€53,,
CHIESI SA,Médecin,AHMED YAHIA ABDELHAFID,07/01/2014,Repas,€53,,
CHIESI SA,Médecin,CHOUKROUN MARIE HELENE,10/12/2013,Repas,€53,,
CHIESI SA,Médecin,DIANA FULVIO,17/09/2013,Repas,€53,,
CHIESI SA,Médecin,FOURNIER CATHERINE,10/12/2013,Repas,€53,,
COSMETIQUE ACTIVE FRANCE,Etudiant,JOURDAN DE LA PASSARDIERE ANNE,20/05/2014,REPAS,€38,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LE PORHIEL CASTELLON JASMINA,20/05/2014,REPAS,€38,,
DAIICHI SANKYO FRANCE SAS,Médecin,AHMED YAHIA ABDELHAFID,05/10/2013,Hospitalité,€247,,
DAIICHI SANKYO FRANCE SAS,Médecin,AHMED YAHIA ABDELHAFID,12/06/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,AHMED YAHIA ABDELHAFID,21/01/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHOUKROUN MARIE HELENE,21/01/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHOUKROUN MARIE HELENE,03/10/2013,Repas,€44,,
DAIICHI SANKYO FRANCE SAS,Médecin,FOURNIER CATHERINE,12/06/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,FOURNIER CATHERINE,21/01/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,FOURNIER CATHERINE,03/10/2013,Repas,€44,,
ETHICON,Médecin,LE BRIS PASCAL,16/06/2014,REPAS,€17,,
ICOMED,Médecin,DIANA FULVIO,29/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FOURNIER CATHERINE,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HINARD MARC,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LE BRIS PASCAL,23/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,VANZO MYRIAM,24/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VERDAVAINE DAUVISIS MARIE GENEVIEVE,11/01/2013,Autre: [Enquête],€28,,
ICOMED,Pharmacien,CESA MULOT MANON,23/04/2013,Autre: [Enquête],€19,,
IPSEN PHARMA,Médecin,CHOUKROUN MARIE HELENE,01/04/2014,REPAS,€49,,
IPSEN PHARMA,Médecin,CHOUKROUN MARIE HELENE,11/10/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,CHOUKROUN MARIE HELENE,11/10/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,FOURNIER CATHERINE,11/10/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,FOURNIER CATHERINE,11/10/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,FOURNIER CATHERINE,01/04/2014,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AHMED YAHIA ABDELHAFID,03/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AHMED YAHIA ABDELHAFID,04/12/2012,Hospitalité,€60,,
