ABBOTT FRANCE,Pharmacien,WATTELET DELOFFRE ISABELLE,19/03/2014,REPAS,€25,,
AbbVie,Médecin,EGARD THIERRY,24/01/2014,INSCRIPTION,€115,,
AbbVie,Médecin,EGARD THIERRY,24/01/2014,TRANSPORT,€75,,
AbbVie,Médecin,EGARD THIERRY,10/12/2013,REPAS,€51,,
AbbVie,Médecin,EGARD THIERRY,03/07/2013,Hébergement,€63,,
Amplifon Groupe France,Médecin,CAZE ALEXANDRE,16/01/2014,REPAS,€37,,
Amplifon Groupe France,Médecin,VANMEIRHAEGHE BENOIT,30/01/2014,REPAS,€59,,
ARROW GENERIQUES SAS,Pharmacien,PROUVEUR PASCAL,20/11/2013,REPAS,€52,,
ASTRAZENECA,Médecin,DOISY JEAN MICHEL,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,DOISY JEAN MICHEL,26/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,LHOTE JEAN FRANCOIS,25/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,MORTELECQUE GOUBE VERONIQUE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MORTELECQUE GOUBE VERONIQUE,20/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,REMY DANIEL,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VELLEMANS MICHEL,22/11/2013,Repas,€43,,
AUDITION SANTE,Médecin,CAZE ALEXANDRE,01/12/2013,CADEAUX,€18,,
Bayer HealthCare SAS,Médecin,CASTIER BRUNO,11/04/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,CASTIER BRUNO,28/03/2014,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,CASTIER BRUNO,01/07/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,CASTIER CORINNE,01/07/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,CASTIER DUBOIS CORINNE,11/04/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,CASTIER DUBOIS CORINNE,28/03/2014,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,LHOTE JEAN FRANCOIS,28/03/2014,Hospitalité,€41,,
Bayer HealthCare SAS,Médecin,LHOTE JEAN-FRANCOIS,01/07/2013,Hospitalité,€40,,
