ABBOTT PRODUCTS SAS,Médecin,PINTARD LACOUR Sylvie,03/07/2013,REPAS,€18,,
ASTELLAS PHARMA,Médecin,PINTARD LACOUR SYLVIE,12/03/2014,REPAS,€45,,
ASTELLAS PHARMA,Médecin,PINTARD LACOUR SYLVIE,26/06/2014,REPAS,€32,,
ASTRAZENECA,Infirmier,ISNARD CHRISTINE,19/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,23/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,19/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,PINTARD LACOUR SYLVIE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,PINTARD LACOUR SYLVIE,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,PINTARD LACOUR SYLVIE,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PINTARD LACOUR SYLVIE,21/01/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,PINTARD LACOUR SYLVIE,04/04/2014,Hospitalité,€30,,
BIOGARAN,Pharmacien,REGNIER Julien,19/06/2014,AUTRE : FORMATION CURSUS ESSEC,€547,,
BOIRON,Médecin,AVILES ADONIS,16/01/2014,[REPAS],€35,,
CHIESI SA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,31/01/2014,Repas,€119,,
CHIESI SA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,31/01/2014,Autre : INSCRIPTION,€200,,
CHIESI SA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,31/01/2014,Hébergement,€152,,
CHIESI SA,Médecin,ANDRIANTSIMAHAVANDY VOHANGUI SOARIFARA,31/01/2014,Transport,€84,,
CHIESI SA,Médecin,PINTARD LACOUR SYLVIE,02/04/2014,Repas,€53,,
ICOMED,Médecin,DUVOCHEL PHILIPPE,04/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,PINTARD LACOUR SYLVIE,11/01/2013,Autre: [Enquête],€30,,
