ARCHIMEDES PHARMA France,Médecin,RAUCY PIERRE,08/11/2013,Repas,€50,,
ICOMED,Médecin,RAUCY PIERRE,10/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,RAUCY PIERRE,06/02/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,LEFEVRE JEAN PIERRE,28/11/2013,REPAS,€33,,
Laboratoires Lohmann & Rauscher,Infirmier,BAUDET JOCELYNE,11/06/2013,REPAS,€20,,
Laboratoires Lohmann & Rauscher,Infirmier,BLONDEL LUDIVINE,11/06/2013,REPAS,€20,,
NOVARTIS PHARMA SAS,Médecin,LEFEVRE JEAN PIERRE,05/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,RAUCY PIERRE,05/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,MARY CHRISTINE,28/11/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,DUFLOS MICHELE,04/02/2014,REPAS,€73,,
OCP REPARTITION,Pharmacien,DUFLOS MICHELE,04/02/2014,REPAS,€60,,
OCP REPARTITION,Pharmacien,LECLERCQ JULIE,04/02/2014,REPAS,€73,,
OCP REPARTITION,Pharmacien,LECLERCQ JULIE,04/02/2014,REPAS,€60,,
