APTALIS PHARMA SAS,Médecin,BAZILLON ALAIN,11/04/2014,FRAIS D'HOSPITALIT,€19,,
ASTRAZENECA,Médecin,BAZILLON ALAIN,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BAZILLON ALAIN,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BAZILLON ALAIN,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,20/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,24/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,30/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,11/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,CARSTEA MIHAIL,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,STIRN PHILIPPE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,STIRN PHILIPPE,05/06/2014,Repas,€57,,
BAYER SANTE FAMILIALE,Médecin,CARSTEA MIHAIL,09/07/2013,REPAS,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CARSTEA MIHAIL,15/05/2014,HOSPITALITE,€60,,
CHIESI SA,Médecin,STIRN PHILIPPE,25/02/2014,Repas,€50,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BAZILLON ALAIN,12/10/2013,REPAS,€30,,
COVIDIEN FRANCE S.A.S.,Médecin,CARSTEA MIHAIL,21/05/2014,REPAS,€46,,
ICOMED,Chirurgien-dentiste,GELLY ALAIN,25/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BAZILLON ALAIN,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,KASSIAN JEAN PHILIPPE,03/06/2014,Autre: [Enquête],€27,,
JANSSEN-CILAG,Médecin,CARSTEA MIHAIL,21/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAZILLON ALAIN,18/04/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARSTEA MIHAIL,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARSTEA MIHAIL,10/02/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIRN PHILIPPE,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIRN PHILIPPE,17/10/2013,REPAS,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BAZILLON ALAIN,05/12/2013,Repas,€55,,
