ALFA WASSERMANN PHARMA,Médecin,CARUANA GROSHENS BRIGITTE,30/01/2014,REPAS,€50,,
ALLERGAN FRANCE,Médecin,FILIOZAT POPU SYLVAINE,04/07/2013,REPAS,€59,,
ALLERGAN FRANCE,Médecin,FILIOZAT-POPU SYLVAINE,13/02/2014,REPAS,€44,,
ALLERGAN FRANCE,Médecin,FILIOZAT-POPU SYLVAINE,11/04/2014,REPAS,€29,,
ALLERGAN FRANCE,Médecin,FILIOZAT-POPU SYLVAINE,05/03/2014,REPAS,€57,,
ASTRAZENECA,Médecin,BRAGUIER CECILE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARUANA BRIGITTE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,COUGNAUD FRANCOISE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,COUGNAUD FRANCOISE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER BENOIT,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FOURNIER BENOIT,23/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,FOURNIER BENOIT,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GRILLON HERVE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,KRUST PHILIPPE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KRUST PHILIPPE,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,LABOUREL Hervé,29/11/2013,Transport,€264,,
ASTRAZENECA,Médecin,LABOUREL Hervé,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,LABOUREL Hervé,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,REGNAULT PHILIPPE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,REGNAULT PHILIPPE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,REGNAULT PHILIPPE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,REGNAULT PHILIPPE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,REGNAULT PHILIPPE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIGAULT JEAN MICHEL,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RIGAULT JEAN MICHEL,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RIGAULT JEAN MICHEL,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIGAULT JEAN MICHEL,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TAUVERON FABRICE,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,TAUVERON FABRICE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TROPHEME GUILLAUME,19/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,REGNAULT PHILIPPE,27/03/2014,Hospitalité,€60,,
BIOCODEX,Médecin,CARUANA BRIGITTE,13/02/2014,REPAS,€46,,
BIOCODEX,Médecin,FOURNIER BENOIT,07/11/2013,REPAS,€48,,
BIOCODEX,Médecin,GRILLON HERVE,14/11/2013,REPAS,€55,,
BIOCODEX,Médecin,REGNAULT PHILIPPE,17/04/2014,REPAS,€41,,
BIOCODEX,Médecin,REGNAULT PHILIPPE,03/04/2014,REPAS,€55,,
BIOCODEX,Médecin,REGNAULT PHILIPPE,07/11/2013,REPAS,€48,,
BIOGEN IDEC FRANCE,Médecin,LEPAUL NATHALIE,15/11/2013,REPAS,€54,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CARUANA BRIGITTE,07/02/2013,HOSPITALITE,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CARUANA BRIGITTE,14/05/2014,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CARUANA BRIGITTE,26/06/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,REGNAULT PHILIPPE,12/09/2013,Repas,€41,,
CHIESI SA,Médecin,REGNAULT PHILIPPE,06/02/2014,Repas,€46,,
colgate palmolive,Chirurgien-dentiste,DEHERRE BRUNO,22/05/2014,Dons de materiel,€16,,
COOPERVISION SAS,Médecin,FILIOZAT POPU SYLVAINE,10/04/2014,REPAS,€60,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SAURET BENEDICTE,15/04/2014,REPAS,€53,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SAURET BENEDICTE,17/06/2014,REPAS,€53,,
