ASTRAZENECA,Infirmier,KELLER ANNICK,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MAYER RENE,25/02/2014,Repas,€43,,
ATOS MEDICAL SAS,Orthophoniste,BRELET CAROLINE,04/04/2014,Autre : [Journée d'étude],€43,,
Bayer HealthCare SAS,Médecin,MAYER RENE,11/02/2014,Hospitalité,€43,,
BAYER SANTE FAMILIALE,Médecin,MAYER RENE,03/12/2013,REPAS,€42,,
BIOMET 3i,Chirurgien-dentiste,FLAVENOT L HOMME CHRISTINE,15/05/2014,REPAS,€30,,
BRISTOL-MYERS SQUIBB,Médecin,MAYER RENE,21/01/2014,Repas,€42,,
colgate palmolive,Chirurgien-dentiste,BIETH SEVERINE,04/02/2014,Dons de materiel,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,MAYER RENE,17/12/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,MAYER RENE,02/07/2013,Repas,€43,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,RADIX CHRISTOPHE,01/04/2014,CADEAU,€570,,
ICOMED,Chirurgien-dentiste,BIETH FREUDENREICH SEVERINE,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,FLAVENOT LHOMME CHRISTINE,27/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,CONRATH JULIEN,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CONRATH JULIEN,28/11/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,MAYER RENE,20/05/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,MAYER RENE,28/01/2014,REPAS,€43,,
IPSEN PHARMA,Médecin,MAYER RENE,26/11/2013,REPAS,€47,,
LABCATAL,Médecin,MAYER RENE,25/03/2014,REPAS,€30,,
LABCATAL,Médecin,MAYER RENE,24/09/2013,REPAS,€36,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE WOLFISHEIM,06/01/2014,CADEAUX,€40,,
LABORATOIRE JALDES,Médecin,Conrath Paul,03/07/2013,Autre : [ECHANTILLON],€21,,
LABORATOIRE JALDES,Médecin,Conrath Paul,03/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Conrath Paul,29/10/2013,Autre : [ECHANTILLON],€15,,
LUNDBECK SAS,Médecin,MAYER RENE,14/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€29,,
MSD France,Médecin,MAYER RENE,26/06/2012,HOSPITALITE,€59,,
MSD France,Médecin,MAYER RENE,15/11/2012,REPAS,€55,,
MSD France,Médecin,MAYER RENE,22/03/2012,REPAS,€60,,
MSD France,Médecin,MAYER RENE,15/11/2012,REPAS,€55,,
NOVO NORDISK,Médecin,MAYER RENE,15/10/2013,REPAS,€43,,
NOVO NORDISK,Médecin,MAYER RENE,18/02/2014,REPAS,€38,,
PIERRE FABRE MEDICAMENT,Médecin,MAYER RENE,27/03/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Pharmacien,JALLU SOPHIE,14/10/2013,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Pharmacien,JALLU SOPHIE,02/01/2014,RESTAURATION,€16,,
PIERRE FABRE MEDICAMENT,Pharmacien,JALLU SOPHIE,26/08/2013,RESTAURATION,€14,,
PRECIPHAR,Médecin,MAYER RENE,15/01/2013,REPAS,€38,,
PRECIPHAR,Médecin,MAYER RENE,16/07/2013,REPAS,€31,,
RESEARCH NOW SAS,Médecin,conrath paul,14/11/2013,enquête,€17,,
SANOFI AVENTIS FRANCE,Médecin,MAYER RENE,18/06/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,MAYER RENE,17/06/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,ROTH AMANDINE,18/03/2014,Repas,€27,,
TEVA SANTE SAS,Médecin,MAYER RENE,17/09/2013,REPAS,€39,,
Zambon France,Médecin,MAYER RENE,01/10/2013,Repas,€40,,
