ASTRAZENECA,Médecin,LAVOUE PHILIPPE,27/03/2014,Repas,€57,,
ICOMED,Médecin,ESSER JEAN PIERRE,04/12/2013,Autre: [Enquête],€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ESSER JEAN PIERRE,12/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVOUE PHILIPPE,18/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVOUE PHILIPPE,31/01/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVOUE PHILIPPE,21/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVOUE PHILIPPE,16/01/2013,Hospitalite,€60,,
MYLAN SAS,Pharmacien,ELEGAMANDJI BENJAMIN,17/06/2014,REPAS,€43,,
MYLAN SAS,Pharmacien,LACOMBE FRANCOIS,17/06/2014,REPAS,€43,,
MYLAN SAS,Pharmacien,LAILLE NATHALIE,17/06/2014,REPAS,€43,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FRAZAO ISABELLE,17/06/2014,REPAS,€43,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VARANDA SEVERINE,17/06/2014,REPAS,€43,,
NOVO NORDISK,Médecin,LAVOUE PHILIPPE,15/05/2014,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LAFLEUR ALAIN,31/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,LAVOUE PHILIPPE,19/11/2013,RESTAURATION,€52,,
RESEARCH NOW SAS,Médecin,Marchaland Jean - Pierre,15/11/2013,enquête,€27,,
