3M France,Chirurgien-dentiste,HARSON LUDOVIC,07/03/2014,REPAS,€11,,
AbbVie,Médecin,DANIEL GUY,11/07/2013,REPAS,€50,,
ASTELLAS PHARMA,Médecin,PEULTIER SANDRINE,28/01/2012,REPAS,€25,,
ASTELLAS PHARMA,Médecin,PEULTIER SANDRINE,27/01/2012,HEBERGEMENT,€268,,
ASTELLAS PHARMA,Médecin,QUINNEZ PATRICK,24/06/2014,REPAS,€57,,
ASTRAZENECA,Médecin,DUPOY LOMONT LUDIVINE,24/09/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,DANIEL GUY,02/07/2013,Hospitalité,€65,,
Bayer HealthCare SAS,Médecin,DUPOY LOMONT LUDIVINE,10/04/2014,Hospitalité,€42,,
BIOCODEX,Etudiant,LAFFELY CHARLINE,05/11/2013,REPAS,€23,,
BIOCODEX,Pharmacien,DARCQ FANNY,05/11/2013,REPAS,€23,,
BIOCODEX,Pharmacien,LACOSTE BEATRICE,05/11/2013,REPAS,€23,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAVEREL VALERIE,05/11/2013,REPAS,€23,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORNALI ROSELINE,05/11/2013,REPAS,€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAVEREL VALERIE,15/04/2014,[REPAS],€19,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORNALI ROSELINE,15/04/2014,[REPAS],€19,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DANIEL GUY,24/05/2014,REPAS,€30,,
DENTSPLY Implants,Chirurgien-dentiste,HOMASSEL BENOIT,15/07/2013,REPAS,€10,,
ICOMED,Chirurgien-dentiste,GARESSUS GERARD,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,TOITOT GERARD,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,MASO NIEDERLANDER LAURELINE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,QUINNEZ PATRICK,10/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERAUD MARINE,21/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERAUD MARINE,28/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERAUD MARINE,30/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,21/06/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,27/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,22/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,03/01/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,28/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,21/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,13/06/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,30/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL GUY,10/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPOY LOMONT LUDIVINE,21/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASO NIEDERLANDER LAURELINE,21/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASO NIEDERLANDER LAURELINE,30/05/2012,Hospitalité,€50,,
