Asept InMed,Association professionnel de santé,la vie par un fil,23/01/2014,don,"€3,500",,
ASTRAZENECA,Médecin,PARIS MONIQUE,20/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,GOILLANDEAU JEAN PIERRE,03/04/2014,Hospitalité,€59,,
BIOGARAN,Pharmacien,NIOGRET LOUIS,05/07/2013,REPAS,€14,,
BIOGARAN,Pharmacien,TURQUET DE BEAUREGARD ALAIN,05/07/2013,REPAS,€14,,
BIOGARAN,Pharmacien,TURQUET DE BEAUREGARD CLAIRE,05/07/2013,REPAS,€14,,
BRISTOL-MYERS SQUIBB,Médecin,GOILLANDEAU JEAN PIERRE,24/09/2013,Repas,€56,,
BRISTOL-MYERS SQUIBB,Médecin,GOILLANDEAU JEAN PIERRE,05/09/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,GOILLANDEAU JEAN PIERRE,05/12/2013,Repas,€56,,
BRISTOL-MYERS SQUIBB,Médecin,GOILLANDEAU JEAN PIERRE,27/05/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,PARIS MONIQUE,05/09/2013,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,PHILIPPE RONAN,16/07/2013,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,PHILIPPE RONAN,27/05/2014,Repas,€29,,
ICOMED,Médecin,GOILLANDEAU JEAN PIERRE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PARIS MONIQUE,20/05/2014,Autre: [Enquête],€22,,
IPSEN PHARMA,Médecin,GOILLANDEAU JEAN PIERRE,01/04/2014,REPAS,€55,,
JANSSEN-CILAG,Médecin,GOILLANDEAU JEAN PIERRE,09/10/2013,REPAS,€15,,
JANSSEN-CILAG,Médecin,GOILLANDEAU JEAN PIERRE,07/05/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,VOY DE VILLE JULIETTE,21/11/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,21/11/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,21/11/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,14/11/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,17/04/2014,REPAS,€44,,
