APTALIS PHARMA SAS,Médecin,NOURRISSON PIERRE HUGO,03/04/2014,FRAIS D'HOSPITALIT,€34,,
ASTRAZENECA,Médecin,CHARTIER BRUNO,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,NOURRISSON PIERRE HUGO,15/05/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,LOSTES MARTHE ALAIN,28/11/2013,Hospitalité,€21,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HOANG SENG-KINE,20/02/2014,REPAS,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHARTIER BRUNO,11/07/2013,Repas,€53,,
ICOMED,Chirurgien-dentiste,CONQUET MICHEL,06/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,CONQUET MICHEL,04/04/2013,Autre: [Enquête],€11,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AZIBERT JEAN CHARLES,14/03/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOSTES MARTHE ALAIN,19/09/2013,REPAS,€38,,
LABORATOIRES COLOPLAST,Infirmier,ARNAUD MALRIEU LAURENCE,15/04/2014,Repas,€37,,
LABORATOIRES COLOPLAST,Infirmier,CALLADO PATRICIA,19/05/2014,Repas,€38,,
LABORATOIRES COLOPLAST,Infirmier,CALLADO PATRICIA,15/04/2014,Repas,€37,,
LABORATOIRES COLOPLAST,Infirmier,CALLADO PATRICIA,23/01/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,DEJEAN MAGALI,15/04/2014,Repas,€37,,
LABORATOIRES COLOPLAST,Infirmier,GUBITTA CORINNE,19/05/2014,Repas,€38,,
LABORATOIRES COLOPLAST,Infirmier,RABAHI YANNICK,23/01/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,VIN PETITJEAN CATHERINE,15/04/2014,Repas,€37,,
LABORATOIRES COLOPLAST,Infirmier,VIN PETITJEAN CATHERINE,19/05/2014,Repas,€38,,
LABORATOIRES COLOPLAST,Infirmier,VIN PETITJEAN CATHERINE,23/01/2014,Repas,€23,,
Lilly France SAS,Pharmacien,AYROLLES ARNAUD,08/04/2014,REPAS,€50,,
Lilly France SAS,Pharmacien,FERRE BEATRICE,08/04/2014,REPAS,€50,,
Molnlycke Health Care,Infirmier,ARNAUD MALRIEU LAURENCE,06/03/2014,REPAS,€29,,
Molnlycke Health Care,Infirmier,ARNAUD MALRIEU LAURENCE,22/11/2013,REPAS,€30,,
Molnlycke Health Care,Infirmier,CALLADO PATRICIA,22/11/2013,REPAS,€23,,
Molnlycke Health Care,Infirmier,CALLADO PATRICIA,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Infirmier,CALLADO PATRICIA,06/03/2014,REPAS,€29,,
Molnlycke Health Care,Infirmier,LAPERGUE MAGALI,06/03/2014,REPAS,€29,,
Molnlycke Health Care,Infirmier,LAPERGUE MAGALI,22/11/2013,REPAS,€30,,
Molnlycke Health Care,Infirmier,RABAHI DJAMILA,22/11/2013,REPAS,€30,,
MSD France,Médecin,AZIBERT JEAN CHARLES,09/11/2012,REPAS,€32,,
MSD France,Médecin,AZIBERT JEAN CHARLES,08/06/2012,REPAS,€34,,
NOVARTIS PHARMA SAS,Pharmacien,GELLY FABRICE,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,CONQUET MICHEL,05/12/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,AZIBERT JEAN CHARLES,07/03/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,AZIBERT JEAN CHARLES,06/01/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,AZIBERT JEAN CHARLES,28/02/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,AZIBERT JEAN CHARLES,09/10/2012,Restauration,€33,,
RESEARCH NOW SAS,Médecin,NINI EMILE,20/09/2013,enquête,€19,,
ROTTAPHARM SAS,Médecin,AZIBERT JEAN CHARLES,29/08/2013,DEJEUNER/REPAS,€27,,
ROTTAPHARM SAS,Médecin,AZIBERT JEAN CHARLES,29/08/2013,DEJEUNER/REPAS,€27,,
SANOFI AVENTIS FRANCE,Médecin,CHARTIER BRUNO,16/04/2014,Repas,€39,,
TEVA SANTE SAS,Médecin,CHARTIER BRUNO,04/10/2013,REPAS,€47,,
TEVA SANTE SAS,Médecin,CHARTIER BRUNO,21/02/2014,REPAS,€48,,
TEVA SANTE SAS,Médecin,CHARTIER BRUNO,12/07/2013,REPAS,€47,,
TEVA SANTE SAS,Médecin,NOURRISSON PIERRE HUGO,12/07/2013,REPAS,€47,,
TEVA SANTE SAS,Médecin,NOURRISSON PIERRE HUGO,21/02/2014,REPAS,€48,,
TEVA SANTE SAS,Médecin,NOURRISSON PIERRE HUGO,04/10/2013,REPAS,€47,,
