APTALIS PHARMA SAS,Médecin,KIM FRANCIS,27/11/2013,FRAIS D'HOSPITALITÉ,€25,,
ASTRAZENECA,Médecin,CAHUET XAVIER,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,27/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,KIM FRANCIS,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,10/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,KIM FRANCIS,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,KIM FRANCIS,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,LAJOIE PHILIPPE,23/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAJOIE PHILIPPE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAJOIE SONJA,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAJOIE SONJA,23/05/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,CAHUET XAVIER,06/05/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,KIM FRANCIS,06/05/2014,Hospitalité,€43,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KIM FRANCIS,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TOMAZ LAETITIA,28/11/2013,HOSPITALITE,€48,,
BRISTOL-MYERS SQUIBB,Médecin,KIM FRANCIS,25/04/2014,Repas,€45,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LAJOIE SONJA,19/10/2013,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,KIM FRANCIS,13/12/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,KIM FRANCIS,06/09/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAJOIE PHILIPPE,05/10/2013,Hospitalite,€74,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAJOIE PHILIPPE,05/10/2013,Repas,€110,,
ICOMED,Chirurgien-dentiste,MALMARTEL LEGROS BRIGITTE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,AUDOUIN ROLAND,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CHATENET PATRICE,26/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,CHATENET PATRICE,23/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KIM FRANCIS,16/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,LAJOIE PHILIPPE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAJOIE SONJA,20/01/2014,Autre: [Enquête],€26,,
IPSEN PHARMA,Médecin,KIM FRANCIS,04/04/2014,REPAS,€18,,
IPSEN PHARMA,Médecin,KIM FRANCIS,04/04/2014,HEBERGEMENT,€120,,
IPSEN PHARMA,Médecin,KIM FRANCIS,04/04/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,KIM FRANCIS,14/03/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,KIM FRANCIS,04/04/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,KIM FRANCIS,04/04/2014,REPAS,€60,,
JANSSEN-CILAG,Médecin,KIM FRANCIS,05/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,13/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,26/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,13/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,31/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,13/07/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,19/10/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,03/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,23/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIM FRANCIS,12/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LABROUSSE SONIA,13/11/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAJOIE PHILIPPE,13/11/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAJOIE SONJA,13/11/2012,Hospitalité,€41,,
Laboratoires BESINS INTERNATIONAL,Médecin,LAJOIE Philippe,22/11/2013,Repas,€41,,
Laboratoires BESINS INTERNATIONAL,Médecin,LAJOIE Sonja,22/11/2013,Repas,€41,,
Laboratoires Grünenthal SAS,Médecin,KIM FRANCIS,18/10/2013,REPAS,€35,,
Laboratoires Grünenthal SAS,Médecin,KIM FRANCIS,24/10/2013,REPAS,€55,,
Laboratoires Leurquin Mediolanum,Médecin,KIM FRANCIS,05/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,KIM FRANCIS,20/09/2013,AUTRE,€30,,
Laboratoires Lohmann & Rauscher,Pharmacien,VIOLETTE MAGALI,22/11/2013,REPAS,€20,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRETTE EVELYNE,22/11/2013,REPAS,€19,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,OLLIER ANNIE,22/11/2013,REPAS,€19,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RAMISSE AURÉLIE,22/11/2013,REPAS,€19,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SCINOCCA CÉLINE,22/11/2013,REPAS,€20,,
LABORATOIRES MAYOLY SPINDLER,Médecin,KIM Francis,11/04/2014,HOSPITALITE,€45,,
LES LABORATOIRES SERVIER,Médecin,KIM FRANCIS,04/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,KIM FRANCIS,25/03/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,KIM FRANCIS,15/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LABROUSSE SONIA,27/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LABROUSSE SONIA,27/03/2014,Repas,€52,,
Lilly France SAS,Médecin,KIM FRANCIS,06/02/2014,REPAS,€55,,
LUNDBECK SAS,Médecin,KIM FRANCIS,25/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€43,,
MENARINI FRANCE,Médecin,KIM FRANCIS,16/10/2013,REPAS,€27,,
MENARINI FRANCE,Médecin,KIM FRANCIS,25/09/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,KIM FRANCIS,27/05/2014,Autre : [Restauration],€45,,
MENARINI FRANCE,Médecin,LAJOIE PHILIPPE,27/05/2014,Autre : [Restauration],€45,,
MENARINI FRANCE,Médecin,LAJOIE SONJA,27/05/2014,Autre : [Restauration],€45,,
Molnlycke Health Care,Infirmier,AUBERT CECILIA,28/11/2013,INVITATIONS,€32,,
Molnlycke Health Care,Infirmier,DEVECIS CLAUDE,28/11/2013,INVITATIONS,€32,,
Molnlycke Health Care,Infirmier,THOMAS MARIE LAURE,28/11/2013,INVITATIONS,€32,,
MSD France,Médecin,GADENNE GERARD,19/12/2013,REPAS,€60,,
MSD France,Médecin,KIM FRANCIS,18/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,KIM FRANCIS,20/02/2014,REPAS,€60,,
MSD France,Médecin,KIM FRANCIS,19/12/2013,REPAS,€60,,
MSD France,Médecin,KIM FRANCIS,19/06/2014,REPAS,€60,,
MSD France,Médecin,KIM FRANCIS,21/06/2012,HOSPITALITE,€60,,
MUNDIPHARMA,Médecin,KIM FRANCIS,14/02/2014,REPAS,€35,,
MUNDIPHARMA,Médecin,KIM FRANCIS,06/06/2014,REPAS,€40,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,23/01/2014,Hébergement,€138,,
