alliance healthcare repartition,Pharmacien,GUILMAUT FRANCOISE,07/01/2014,Repas,€27,,
ALMUS,Pharmacien,GUILMAULT Francois,24/05/2014,Repas,€31,,
ASTELLAS PHARMA,Médecin,DE LA GAROULLAYE GERALD,24/01/2013,REPAS,€54,,
ASTELLAS PHARMA,Médecin,VERDU ANDREE,24/01/2013,REPAS,€54,,
ASTRAZENECA,Médecin,JOUBERT CHARLES,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,TACQUET GILLES,17/12/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,JOUBERT CHARLES,03/06/2014,Hospitalité,€55,,
BIOGARAN,Pharmacien,BAINIER YASMINE,15/04/2014,REPAS,€31,,
BIOGARAN,Pharmacien,GASNIER TEYROUZ AGNES,22/07/2013,REPAS,€32,,
BIOGARAN,Pharmacien,SELLIER FLORENCE,22/07/2013,REPAS,€32,,
BIOGARAN,Pharmacien,SELLIER Florence,17/01/2014,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGARAN,Pharmacien,SELLIERA FLORENCE,15/04/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DE SOLMO EMILIE,15/04/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FOUCHER VALERIE,15/04/2014,REPAS,€31,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GASNIER TEYROUZ LAURENT,22/07/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SELLIER PATRICK,22/07/2013,REPAS,€32,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICHARD MARIE NOELLE,25/04/2014,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICOU BLANDINE,25/04/2014,[REPAS],€18,,
BRISTOL-MYERS SQUIBB,Médecin,BERCIU ALINA ROXANA,12/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DE LA GAROULLAYE HENRY,12/06/2014,Repas,€60,,
CHIESI SA,Médecin,BERCIU ALINA ROXANA,19/09/2013,Repas,€40,,
CHIESI SA,Médecin,DE LA GAROULLAYE HENRY,19/09/2013,Repas,€40,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BOUVIER YASMINE,18/02/2014,REPAS,€39,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SELLIER FLORENCE,18/02/2014,REPAS,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,DE LA GAROULLAYE HENRY,11/07/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,JOUBERT CHARLES,05/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,VERDU ANDREE,11/07/2013,Repas,€40,,
ICOMED,Médecin,VERDU ANDREE,09/01/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,22/05/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,12/12/2013,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,03/04/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,03/10/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,07/06/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,28/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,22/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,05/06/2014,REPAS,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,15/05/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERCIU ALINA ROXANA,20/06/2013,Hospitalite,€48,,
