AMGEN SAS,Médecin,TREBAOL RONAN,18/03/2014,REPAS REUNION,€44,,
APTALIS PHARMA SAS,Médecin,PICART CAROLE,11/12/2013,FRAIS D'HOSPITALITÉ,€18,,
ASTRAZENECA,Etudiant,CHAIBAN JEREMY,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BORDAGE CATHERINE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BORDAGE CATHERINE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BORDAGE CATHERINE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHANOINE PASCALE,29/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,CORNILY GERALDINE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,COZIC JEAN YVES,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,COZIC JEAN YVES,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,COZIC JEAN YVES,29/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,DEJEAN PIERRE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEJEAN PIERRE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEJEAN PIERRE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUVAL FRANCOISE,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,HAZIF THOMAS CYRIL,17/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,JESTIN GRANIER CECILE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,JESTIN GRANIER CECILE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LANCIEN GUT ANNE SOPHIE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE BIHAN LOCHOU MORGANA,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE BIHAN LOCHOU MORGANA,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE LANN LE DUC SYLVIE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE LANN LE DUC SYLVIE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE LANN LE DUC SYLVIE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MESGUEN DANIEL,17/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,MONTAVON LE MEAUX STEPHANIE,28/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MONTAVON LE MEAUX STEPHANIE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,RAKOTOSEHENO BODO,05/07/2013,Repas,€20,,
ASTRAZENECA,Médecin,WESTPHALE MARIE,28/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,WESTPHALE MARIE,27/02/2014,Repas,€57,,
BIOCODEX,Médecin,MESGUEN DANIEL,19/06/2014,REPAS,€59,,
BIOCODEX,Médecin,MESGUEN DANIEL,19/09/2013,REPAS,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,18/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAHE JEAN YVES,18/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MAHE JEAN YVES,24/09/2013,HOSPITALITE,€62,,
BOIRON,Médecin,JEZEQUEL FLORENCE,03/10/2013,[REPAS],€17,,
BOIRON,Médecin,JEZEQUEL FLORENCE,26/09/2013,[HOSPITALITE],€793,,
BOIRON,Médecin,JEZEQUEL FLORENCE,25/03/2014,[REPAS],€20,,
BOIRON,Médecin,JEZEQUEL FLORENCE,08/02/2014,[REPAS],€34,,
colgate palmolive,Chirurgien-dentiste,BARDINA FLORENCE,02/01/2014,Dons de materiel,€16,,
