ASTRAZENECA,Médecin,MATHIOUDAKIS ISABELLE,28/11/2013,Repas,€57,,
BIOGARAN,Pharmacien,BIGAUD Anne-laure,02/06/2014,AUTRE : FORMATION ESSEC,"€1,310",,
ICOMED,Médecin,MATHIOUDAKIS ISABELLE,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MATHIOUDAKIS ISABELLE,17/01/2013,Autre: [Enquête],€30,,
MSD France,Médecin,MATHIOUDAKIS ISABELLE,27/05/2014,REPAS,€22,,
MSD France,Médecin,MATHIOUDAKIS ISABELLE,09/07/2013,REPAS,€16,,
MSD France,Médecin,MATHIOUDAKIS ISABELLE,07/03/2013,REPAS,€24,,
MSD France,Médecin,VELCEA CATALINA,07/03/2013,REPAS,€24,,
PFIZER SAS,Médecin,MATHIOUDAKIS Isabelle,21/11/2013,REPAS,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MATHIOUDAKIS ISABELLE,17/01/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,MATHIOUDAKIS ISABELLE,13/02/2013,Restauration,€40,,
