ANTHOGYR,Médecin,BURI Michel,31/12/2012,Repas ou Hébèrgement,€23,,
Bayer HealthCare SAS,Médecin,BADIA STEPHANE,02/10/2013,Hospitalité,€60,,
ICOMED,Médecin,BADIA STEPHANE,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BADIA DECOCQ LAURENCE,04/04/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,BADIA DECOCQ LAURENCE,23/01/2014,Autre: [Enquête],€15,,
MENARINI FRANCE,Médecin,HEIJERMANS HERMAN,08/10/2013,REPAS,€50,,
MSD France,Médecin,VERNESCU VICTOR,15/05/2014,REPAS,€50,,
MSD France,Médecin,VERNESCU VICTOR,03/10/2013,REPAS,€50,,
MSD France,Médecin,VERNESCU VICTOR,23/01/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,BADIA STEPHANE,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BADIA DECOCQ LAURENCE,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,BADIA STEPHANE,12/02/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,VERNESCU VICTOR,17/01/2013,Restauration,€53,,
TEVA SANTE SAS,Pharmacien,BEGON CAROLINE,25/09/2013,REPAS,€53,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BEGON VINCENT,25/09/2013,REPAS,€53,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERTRAND LUCIE,25/09/2013,REPAS,€53,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CONSTANT MARIE-HELENE,25/09/2013,REPAS,€53,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PLASSE BRIGITTE,25/09/2013,REPAS,€53,,
