ARROW GENERIQUES SAS,Pharmacien,DONKENG SERGE,27/05/2014,REPAS,€64,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GARCES PATRICK,23/05/2014,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOINE SOPHIE,23/05/2014,REPAS,€49,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GARCES PATRICK,11/04/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MOINE SOPHIE,11/04/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BLONDEAU NATHALIE,20/05/2014,Repas,€16,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG ALIMETA SERGE,20/05/2014,Repas,€16,,
NOVARTIS PHARMA SAS,Médecin,GARCES PATRICK,25/04/2014,Repas,€44,,
NOVARTIS PHARMA SAS,Médecin,MOINE SOPHIE,25/04/2014,Repas,€44,,
PIERRE FABRE MEDICAMENT,Médecin,GARCES PATRICK,20/01/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,MOINE SOPHIE,16/11/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,MOINE SOPHIE,20/01/2012,Restauration,€45,,
