BIOGEN IDEC FRANCE,Masseur-kinésithérapeute,MARCHAL CELINE,22/11/2013,REPAS,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,EVRARD DENIS,03/04/2014,HOSPITALITE,€21,,
ICOMED,Médecin,BREDA FREDERIC,25/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BREDA LUDOVIC,28/11/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,ROSSO NATHALIE,02/11/2012,Transport,€175,,
Laboratoires Lohmann & Rauscher,Pharmacien,BOURRET ANNE,26/11/2013,REPAS,€12,,
Laboratoires Lohmann & Rauscher,Pharmacien,SIMON JEAN-PAUL,26/11/2013,REPAS,€12,,
Laboratoires Lohmann & Rauscher,Pharmacien,SIMON LILIANE,26/11/2013,REPAS,€12,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EL TABCHI MARIE-CHRISTINE,26/11/2013,REPAS,€12,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HOUOT ARMELLE,26/11/2013,REPAS,€12,,
MUNDIPHARMA,Médecin,EVRARD DENIS,26/11/2013,HOSPITALITE,€26,,
OCP REPARTITION,Pharmacien,BOURRET ANNE,20/02/2014,REPAS,€33,,
OCP REPARTITION,Pharmacien,CHARROYER PHILIPPE,20/02/2014,REPAS,€33,,
OCP REPARTITION,Pharmacien,SIMON JEAN PAUL,20/02/2014,REPAS,€33,,
OCP REPARTITION,Pharmacien,SIMON LILIANE,20/02/2014,REPAS,€33,,
