BOEHRINGER INGELHEIM FRANCE,Médecin,LAGOUTTE VERONIQUE,27/11/2013,HOSPITALITE,€55,,
ICOMED,Médecin,LECONTE LUDOVIC,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LECONTE LUDOVIC,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROCA MICHEL,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROCA MICHEL,26/03/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,LAGOUTTE VERONIQUE,10/10/2013,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGOUTTE VERONIQUE,05/12/2013,REPAS,€60,,
Molnlycke Health Care,Infirmier,GOBE ANNE,31/01/2014,REPAS,€19,,
Molnlycke Health Care,Infirmier,ROCA LEBOUCHER CHRISTIANE,31/01/2014,REPAS,€19,,
Molnlycke Health Care,Infirmier,TIRARD VALERIE,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Infirmier,TIRARD VALERIE,31/01/2014,REPAS,€19,,
NOVARTIS PHARMA SAS,Médecin,LECONTE LUDOVIC,20/02/2014,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,LECONTE LUDOVIC,23/05/2014,Repas,€19,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,BEUGNOT CAROLINE,27/05/2014,RESTAURATION,€38,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,BEUGNOT CEDRIC,27/05/2014,RESTAURATION,€38,,
RESEARCH NOW SAS,Médecin,leconte ludovic,14/11/2013,enquête,€17,,
