ARROW GENERIQUES SAS,Pharmacien,DRION MARIE THERESE,09/12/2013,REPAS,€13,,
ASTRAZENECA,Médecin,CRETU LIANA MARIANA,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DE GIVRE TANNEGUY,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MELO DOMINIQUE,14/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,DE GIVRE TANNEGUY,21/11/2013,Hospitalité,€48,,
Bayer HealthCare SAS,Médecin,DE GIVRE TANNEGUY,16/04/2014,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,DE GIVRE TANNEGUY,22/05/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,DE GIVRE TANNEGUY,02/07/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,DE GIVRE TANNEGUY,02/04/2014,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,GIRARD NATHALIE,16/04/2014,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,GIRARD NATHALIE,02/04/2014,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,GIRARD NATHALIE,22/05/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,MELO DOMINIQUE,02/04/2014,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,MELO DOMINIQUE,16/04/2014,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,MELO DOMINIQUE,22/05/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,TRANCHEVENT MICHEL,16/04/2014,Hospitalité,€26,,
BOIRON,Pharmacien,LEMAIRE ARNAUD,25/04/2014,[REPAS],€26,,
BOIRON,Pharmacien,LEMAIRE SANDRINE,19/11/2013,[REPAS],€25,,
BRISTOL-MYERS SQUIBB,Pharmacien,LEMAIRE ARNAUD,18/03/2014,Repas,€64,,
BRISTOL-MYERS SQUIBB,Pharmacien,LEMAIRE ARNAUD,02/07/2013,Repas,€22,,
BRISTOL-MYERS SQUIBB,Pharmacien,LEMAIRE SANDRINE,02/07/2013,Repas,€22,,
ICOMED,Médecin,GIRARD NATHALIE,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRARD NATHALIE,07/01/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,GIRARD NATHALIE,16/05/2013,REPAS,€17,,
JANSSEN-CILAG,Médecin,MELO DOMINIQUE,11/04/2014,REPAS,€15,,
JANSSEN-CILAG,Médecin,MELO DOMINIQUE,16/05/2013,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRETU LIANA MARIANA,16/04/2014,REPAS,€20,,
