Actelion Pharmaceuticals France,Association professionnel de santé,ASSOCIATION JEAN BAPTISTE DESBRET,12/12/2013,DONS DE FONCTIONNEMENT,"€3,500",,
AMGEN SAS,Médecin,GASPARD CATHERINE,29/04/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,GASPARD CATHERINE,16/12/2013,REPAS IMPROMPTU,€21,,
AMGEN SAS,Médecin,GASPARD CATHERINE,10/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,GASPARD CATHERINE,07/10/2013,REPAS IMPROMPTU,€20,,
AMGEN SAS,Pharmacien,AUGUSTE MARIE LAURE,26/11/2013,REPAS IMPROMPTU,€24,,
AMGEN SAS,Pharmacien,CANTONI VINCENT,26/11/2013,REPAS IMPROMPTU,€24,,
ANTHOGYR,Médecin,PIGNOL Jean-François,28/11/2013,Repas ou Hébèrgement,€46,,
APARD,Association professionnel de santé,ASSOCIATION JEAN-BAPTISTE DESBREST,31/12/2013,DONS DE FONCTIONNEMENT,"€6,766",,
ASTRAZENECA,Médecin,GASPARD CATHERINE,20/06/2014,Repas,€43,,
B. Braun Avitum France SAS,Pharmacien,AUGUSTE Marie-Laure,19/11/2013,Repas,€22,,
B. Braun Avitum France SAS,Pharmacien,CANTONI Vincent,15/07/2013,Repas,€28,,
B. Braun Avitum France SAS,Pharmacien,CANTONI Vincent,18/12/2013,Repas,€35,,
BOIRON,Médecin,DAUTHEVILLE PRISCA,28/03/2014,[REPAS],€21,,
BOIRON,Pharmacien,GIRARD AMANDINE,06/11/2013,[REPAS],€30,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONNIER ELODIE,06/11/2013,[REPAS],€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,HOA NGUYEN BINH,16/11/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MONNIER ELODIE,24/04/2014,REPAS,€21,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MONNIER ELODIE,20/01/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MOULS SANDRA,20/01/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MOULS SANDRA,24/04/2014,REPAS,€21,,
GLOBAL D,Chirurgien-dentiste,PIGNOL JEAN-FRANÇOIS,15/04/2014,REPAS,€21,,
GLOBAL D,Chirurgien-dentiste,PIGNOL JEAN-FRANÇOIS,05/02/2014,REPAS,€28,,
GLOBAL D,Chirurgien-dentiste,PIGNOL JEAN-FRANÇOIS,18/04/2013,REPAS,€27,,
GUERBET France,Médecin,MILLET INGRID,28/11/2013,TRANSPORT,€200,,
GUERBET France,Médecin,MILLET INGRID,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,MILLET INGRID,28/11/2013,AUTRE : PACKAGE,"€2,740",,
ICOMED,Chirurgien-dentiste,PIGNOL JEAN FRANCOIS,12/06/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,ROMESTAND BLANDINE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,SALES SONIA,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,HOA NGUYEN BINH,09/05/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,HOA NGUYEN BINH,19/04/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,LE BORGNE ERIC,11/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAUTHEVILLE PRISCA,05/04/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TEILLARD LEXCELLENT SYLVIE,22/05/2013,Hospitalite,€19,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GIRARD AMANDINE,10/06/2014,INVITATIONS,€20,,
Laboratoires PRED,Chirurgien-dentiste,Bremond Isabelle,11/10/2013,Dons de matériel,€42,,
LABORATOIRES URGO,Infirmier,GARULO Michèle,27/03/2014,Transport,€103,,
LABORATOIRES URGO,Infirmier,GARULO Michèle,27/03/2014,Hébergement,€112,,
LES LABORATOIRES SERVIER,Médecin,DAUTHEVILLE PRISCA,19/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DAUTHEVILLE PRISCA,04/07/2013,Repas,€53,,
MEDEXACT,Médecin,GASPARD CATHERINE,11/07/2013,Autre: [Enquête],€26,,
MEDITOR,Médecin,BOSC JEAN YVES,05/04/2013,REPAS,€64,,
MEDITOR,Médecin,BOSC JEAN YVES,07/03/2014,REPAS,€31,,
MEDITOR,Médecin,BOSC JEAN YVES,18/01/2013,REPAS,€42,,
MEDITOR,Médecin,CHALABI LOTFI,28/03/2013,REPAS,€38,,
MEDITOR,Médecin,CHALABI LOTFI,11/06/2014,REPAS,€41,,
MEDITOR,Médecin,CHALABI LOTFI,18/02/2014,REPAS,€57,,
NOVARTIS PHARMA SAS,Médecin,DAUTHEVILLE PRISCA,03/10/2013,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,DAUTHEVILLE PRISCA,13/02/2014,Repas,€28,,
NOVARTIS PHARMA SAS,Médecin,LE BORGNE ERIC,13/02/2014,Repas,€28,,
PIERRE FABRE MEDICAMENT,Médecin,DAUTHEVILLE PRISCA,28/09/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,TEILLARD LEXCELLENT SYLVIE,22/11/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,TEILLARD LEXCELLENT SYLVIE,28/09/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,TEILLARD LEXCELLENT SYLVIE,15/03/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,TEILLARD LEXCELLENT SYLVIE,27/06/2013,Restauration,€36,,
ROCHE SAS,Pharmacien,AUGUSTE MARIE LAURE,10/09/2013,Repas,€22,,
ROCHE SAS,Pharmacien,CANTONI VINCENT,17/09/2013,Repas,€23,,
ROCHE SAS,Pharmacien,CANTONI VINCENT,10/09/2013,Repas,€22,,
SANOFI AVENTIS FRANCE,Pharmacien,FAIVRE SUSPLUGAS HELENE,22/07/2013,Restauration,€13,,
SANOFI AVENTIS FRANCE,Pharmacien,SUSPLUGAS ANNE MARIE,22/07/2013,Restauration,€13,,
SEPTODONT SAS,Association professionnel de santé,SELARL PIGNOL JEAN-FRANCOIS,11/12/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,BREMOND ISABELLE,25/10/2012,Cadeaux,€144,,
Straumann France,Chirurgien-dentiste,PIGNOL JEAN FRANCOIS,20/03/2014,Repas,€42,,
