3M France,Chirurgien-dentiste,CARRIAS CAROLINE,19/06/2014,REPAS,€50,,
ABBOTT PRODUCTS SAS,Médecin,EBERHARDT Guy,17/10/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,EBERHARDT GUY,20/02/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,EBERHARDT Guy,04/07/2013,REPAS,€40,,
AMGEN SAS,Médecin,BERGER MARIE,05/07/2013,REPAS,€60,,
ASTRAZENECA,Médecin,BAER CHRISTOPHE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BAER CHRISTOPHE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BAER CHRISTOPHE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,EBERHARDT GUY,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,EBERHARDT GUY,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,EBERHARDT GUY,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MEYER PIERRE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MEYER SANDRA,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHELCHER PATRICK,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHELCHER PATRICK,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHELCHER PATRICK,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHWOEGLER SANDRA,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHWOEGLER SANDRA,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,WENDLING THOMAS,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,WENDLING THOMAS,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,WENDLING THOMAS,20/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BAER CHRISTOPHE,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,EBERHARDT GUY,28/11/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,EBERHARDT GUY,26/09/2013,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,EBERHARDT GUY,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,MEYER PIERRE,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SCHWOEGLER SANDRA,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,WENDLING THOMAS,15/05/2014,Hospitalité,€60,,
BIOCODEX,Médecin,CERVEAU BUESSINGER CAROLINE,22/10/2013,REPAS,€48,,
BOIRON,Médecin,BERGER MARIE,15/02/2014,[REPAS],€36,,
BOIRON,Pharmacien,MELY ANNIE,16/01/2014,[REPAS],€38,,
BOIRON,Pharmacien,MELY ANNIE,05/12/2013,[REPAS],€12,,
BRISTOL-MYERS SQUIBB,Médecin,MEYER SANDRA,05/06/2014,Repas,€60,,
CHIESI SA,Médecin,STREICHER MARIE PIERRE,09/07/2013,Repas,€38,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BELL LUCILE,28/01/2014,REPAS,€40,,
