ALK-Abelló,Médecin,PETRELLA THIERRY,20/06/2013,AUTRE : [RESTAURATION],€55,,
ASTRAZENECA,Médecin,CHATRY ANNE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHATRY ANNE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEVIENNE AMANDINE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEVIENNE AMANDINE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FRAPPIER ARNAUD,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GEORGELIN SYLVIE,17/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,GEORGELIN SYLVIE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRIFFON LEON MARC,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GRIFFON LEON MARC,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRIFFON LEON MARC,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HITROP LAURENT,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,HITROP LAURENT,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KASTNER FREDERIC,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,KASTNER FREDERIC,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,NGO NGEMHE JEANNE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,NGO NGEMHE JEANNE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PETRELLA THIERRY,02/07/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,GRIFFON LEON MARC,09/07/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,KASTNER FREDERIC,09/07/2013,Hospitalité,€66,,
BIOCODEX,Médecin,HITROP LAURENT,20/03/2014,REPAS,€50,,
BIOCODEX,Médecin,KASTNER FREDERIC,20/03/2014,REPAS,€50,,
BIOCODEX,Médecin,NGO NGEMHE JEANNE,20/03/2014,REPAS,€50,,
BIOCODEX,Pharmacien,BIZON FREDERIC,05/06/2014,REPAS,€56,,
BOIRON,Pharmacien,BALL CATHERINE,08/11/2013,[REPAS],€28,,
BOIRON,Pharmacien,RAOUX CLAIRE,08/11/2013,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOURRY N,08/11/2013,[REPAS],€28,,
