ARCHIMEDES PHARMA France,Médecin,DE_MONBERNARD JEAN,12/02/2014,Repas,€40,,
Bayer HealthCare SAS,Médecin,DE MONSEMBERNARD JEAN,22/01/2014,Hospitalité,€12,,
BAYER SANTE FAMILIALE,Médecin,HERVIEU XAVIER,15/10/2013,REPAS,€34,,
BAYER SANTE FAMILIALE,Médecin,LEBOUCHER PHILIPPE,15/10/2013,REPAS,€34,,
ICOMED,Médecin,DECAUX ALAIN,18/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DECAUX ALAIN,11/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DECAUX ALAIN,17/01/2014,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE MONSEMBERNARD JEAN,25/03/2014,REPAS,€42,,
Molnlycke Health Care,Infirmier,MAZIER MARTINE,23/01/2014,REPAS,€33,,
MUNDIPHARMA,Médecin,DECAUX ALAIN,09/04/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,DE MONSEMBERNARD JEAN,20/02/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,DE MONSEMBERNARD JEAN,09/04/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,DE MONSEMBERNARD JEAN,20/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€46,,
