APTALIS PHARMA SAS,Médecin,PANTALEO YVES,10/06/2014,FRAIS D'HOSPITALIT,€54,,
ASTELLAS PHARMA,Association professionnel de santé,ASSOCIATION BISONTINE,06/02/2014,DONS DE FONCTIONNEMENT,€950,,
ASTRAZENECA,Médecin,JEANDEY PILLER Laure Estelle,29/11/2013,Hébergement,€230,,
ASTRAZENECA,Médecin,JEANDEY PILLER Laure Estelle,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,JEANDEY PILLER Laure Estelle,29/11/2013,Transport,€278,,
ASTRAZENECA,Médecin,PANTALEO YVES,25/03/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,PANTALEO YVES,17/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PANTALEO YVES,15/05/2014,Hospitalité,€55,,
Bayer HealthCare SAS,Sage-femme,THIBAULT FABIENNE,20/03/2014,Hospitalité,€27,,
COOPERVISION SAS,Opticien-lunetier,GURY OTHILIE,27/11/2013,REPAS,€15,,
COOPERVISION SAS,Opticien-lunetier,LAMBOLEY ALINE,27/11/2013,REPAS,€15,,
COOPERVISION SAS,Opticien-lunetier,LAMBOLEY ALINE,26/07/2013,REPAS,€16,,
COOPERVISION SAS,Opticien-lunetier,LUTRINGER CECILE,05/12/2013,REPAS,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,PANTALEO YVES,26/09/2013,Repas,€60,,
GaldermaQMed,Médecin,PAQUIERS MARTEL ADELINE,10/04/2014,Repas,€56,,
GaldermaQMed,Médecin,PAQUIERS MARTEL ADELINE,10/04/2014,Hospitalité,€35,,
JANSSEN-CILAG,Médecin,BEDEAUX CATHERINE,15/10/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,PERNOT CORINNE,20/08/2013,REPAS,€20,,
JANSSEN-CILAG,Pharmacien,DEVILLERS MARTIAL,15/05/2013,REPAS,€50,,
JANSSEN-CILAG,Pharmacien,PAULIN SEBASTIEN,15/05/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDEAUX CATHERINE,11/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PANTALEO YVES,29/05/2013,Hospitalite,€43,,
Laboratoires Grünenthal SAS,Médecin,BEDEAUX CATHERINE,05/06/2014,REPAS,€55,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,THIBAULT FABIENNE,01/12/2013,CADEAUX,€15,,
MEDA PHARMA,Médecin,TIBERGHIEN FLORENCE,23/05/2014,REPAS,€80,,
MEDA PHARMA,Médecin,TIBERGHIEN FLORENCE,23/05/2014,TRANSPORT,€230,,
MSD France,Médecin,PANTALEO YVES,11/10/2013,REPAS,€60,,
MSD France,Médecin,PERNOT CORINNE,22/03/2012,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,BEDEAUX CATHERINE,07/06/2012,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,PANTALEO YVES,07/06/2012,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,PANTALEO YVES,24/01/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Pharmacien,PAULIN SEBASTIEN,13/06/2014,RESTAURATION,€13,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUILLON CELINE,13/06/2014,RESTAURATION,€13,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VAUGE CEDRIC,13/06/2014,RESTAURATION,€13,,
RADIANTE,Pharmacien,DEVILLERS Martial,19/01/2012,Repas,€42,,
RADIANTE,Pharmacien,PAULIN Sébastien,19/01/2012,Repas,€42,,
RESEARCH NOW SAS,Médecin,prati clément,29/09/2013,enquête,€19,,
Takeda France,Pharmacien,LOISON PASCAL,19/06/2014,Repas,€12,,
