3M France,Chirurgien-dentiste,TREMONT DOMINIQUE,07/10/2013,REPAS,€35,,
ABBOTT PRODUCTS SAS,Médecin,AGUEDO MELANIE,01/04/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,DUCOS FRANCOIS,01/04/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,LEDUC XAVIER,01/04/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,ROCCA PAUL HENRY,01/04/2014,REPAS,€40,,
AbbVie,Médecin,CAYLA PIERRE,19/07/2013,Repas,€50,,
AbbVie,Médecin,CAYLA PIERRE,26/11/2013,Repas,€50,,
AbbVie,Médecin,CAYLA PIERRE,17/01/2014,REPAS,€51,,
AbbVie,Médecin,CAYLA PIERRE,14/03/2014,REPAS,€35,,
AbbVie,Médecin,CAYLA PIERRE,18/01/2014,REPAS,€60,,
AbbVie,Médecin,CAYLA PIERRE,29/08/2013,Repas,€40,,
AbbVie,Médecin,CAYLA PIERRE,09/01/2014,REPAS,€54,,
AbbVie,Médecin,CAYLA PIERRE,02/06/2014,REPAS,€55,,
Actelion Pharmaceuticals France,Médecin,PEYROU JEROME,25/03/2014,REPAS,€33,,
ALFA WASSERMANN PHARMA,Médecin,LE HECHO JEAN RENE,19/11/2013,REPAS,€20,,
Alizé Santé,Médecin,FALQUE LAURENT,28/03/2014,REPAS,€38,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,AUTRE : [RESTAURATION],€48,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,16/04/2013,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,AUTRE : [RESTAURATION],€75,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,30/11/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,AUTRE : [RESTAURATION],€48,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,17/10/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,16/04/2013,HEBERGEMENT,€690,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,16/04/2013,AUTRE : [INSCRIPTION],€311,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,30/11/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,AUTRE : [RESTAURATION],€75,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,05/10/2013,AUTRE : [RESTAURATION],€138,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,16/04/2013,TRANSPORT,€274,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,AUTRE : [INSCRIPTION],€287,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,29/06/2012,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,12/09/2013,AUTRE : [RESTAURATION],€54,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,24/04/2012,TRANSPORT,€225,,
ALK-Abelló,Médecin,BOISSERIE LACROIX VINCENT,05/10/2013,HEBERGEMENT,€162,,
ALK-Abelló,Médecin,CALIOT PHILIPPE,26/01/2012,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,CALIOT PHILIPPE,23/01/2014,Autre : [Restauration],€42,,
