AbbVie,Médecin,HOULZET GUY,17/06/2014,REPAS,€17,,
ALK-Abelló,Médecin,BOULYANA MOHAMED,16/04/2013,HEBERGEMENT,€690,,
ALK-Abelló,Médecin,BOULYANA MOHAMED,16/04/2013,AUTRE : [INSCRIPTION],€311,,
ALK-Abelló,Médecin,BOULYANA MOHAMED,16/04/2013,TRANSPORT,€87,,
ALLERGAN FRANCE,Médecin,CHIOSSONI CARINA,21/10/2013,REPAS,€26,,
ALLERGAN FRANCE,Médecin,CHIOSSONI CARINA,20/09/2013,REPAS,€60,,
AMGEN SAS,Infirmier,BERNARD MARIE PIERRE,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Infirmier,FEVRIER MARTINE,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,BOILEAU ANTOINE,12/12/2013,REPAS IMPROMPTU,€21,,
AMGEN SAS,Médecin,CAPELLE MONNOT CLAIRE,29/11/2013,REPAS IMPROMPTU,€29,,
AMGEN SAS,Médecin,CAPELLE MONNOT CLAIRE,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,CAPELLE MONNOT CLAIRE,12/09/2013,REPAS,€60,,
AMGEN SAS,Médecin,DAMAJ CHADI,16/09/2013,REPAS IMPROMPTU,€17,,
AMGEN SAS,Médecin,DUCROCQ VINCENT,18/03/2014,REPAS IMPROMPTU,€21,,
AMGEN SAS,Médecin,DUCROCQ VINCENT,04/02/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,DUCROCQ VINCENT,20/05/2014,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,GRAFF DRUANT CAROLINE,12/09/2013,REPAS,€60,,
AMGEN SAS,Médecin,GRAFF DRUANT CAROLINE,15/07/2013,REPAS IMPROMPTU,€34,,
AMGEN SAS,Médecin,GRAFF DRUANT CAROLINE,29/11/2013,REPAS IMPROMPTU,€29,,
AMGEN SAS,Médecin,GRAFF DRUANT CAROLINE,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,HEIM JACQUES,11/07/2013,REPAS IMPROMPTU,€42,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,03/07/2013,REPAS IMPROMPTU,€28,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,29/08/2013,REPAS IMPROMPTU,€24,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,18/11/2013,REPAS IMPROMPTU,€26,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,07/10/2013,REPAS IMPROMPTU,€42,,
AMGEN SAS,Médecin,HOHNADEL FRANCOISE,16/09/2013,REPAS IMPROMPTU,€17,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,08/06/2013,REPAS,€51,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/06/2013,HEBERGEMENT,€200,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/06/2013,TRANSPORT,€65,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/06/2013,REPAS,€60,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,05/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,08/11/2013,HEBERGEMENT,€283,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€468,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/06/2013,TRANSPORT,€45,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€14,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,08/11/2013,REPAS REUNION,€60,,
